,Date_reported,New_cases,SmoothedCases,cutDates
0,2020-01-03,0,0.07557332387750985,0
1,2020-01-04,0,0.09091409025901771,0
2,2020-01-05,0,0.10984155213784529,0
3,2020-01-06,0,0.13323973859788493,0
4,2020-01-07,0,0.16220793896958716,0
5,2020-01-08,0,0.19811033532936795,0
6,2020-01-09,0,0.2426360485200693,0
7,2020-01-10,0,0.2978714637193049,0
8,2020-01-11,0,0.36638694414426776,0
9,2020-01-12,0,0.45134028988909486,0
10,2020-01-13,0,0.5565995451864729,0
11,2020-01-14,0,0.6868879912581183,0
12,2020-01-15,0,0.8479543705519791,0
13,2020-01-16,0,1.046771556191817,0
14,2020-01-17,0,1.2917669900733988,0
15,2020-01-18,0,1.593088244238373,0
16,2020-01-19,0,1.9629069912255506,0
17,2020-01-20,0,2.415764477240844,0
18,2020-01-21,0,2.968961254132826,0
19,2020-01-22,0,3.642993419921472,0
20,2020-01-23,0,4.462036922327871,0
21,2020-01-24,0,5.4544805774894956,0
22,2020-01-25,0,6.653507332704994,0
23,2020-01-26,0,8.097721948231017,0
24,2020-01-27,0,9.831821684947425,0
25,2020-01-28,0,11.907304764368318,0
26,2020-01-29,2,14.383209323960767,0
27,2020-01-30,0,17.32687334020963,0
28,2020-01-31,1,20.814703558265457,0
29,2020-02-01,0,24.93293888270401,0
30,2020-02-02,0,29.778390990595714,0
31,2020-02-03,0,35.459142177827275,0
32,2020-02-04,0,42.09517770620491,0
33,2020-02-05,0,49.818927259064715,0
34,2020-02-06,0,58.77568762784115,0
35,2020-02-07,0,69.12389654712314,0
36,2020-02-08,0,81.03522579189439,0
37,2020-02-09,0,94.69446038252171,0
38,2020-02-10,0,110.29913015673624,0
39,2020-02-11,0,128.05886021706175,0
40,2020-02-12,0,148.1944080026042,0
41,2020-02-13,0,170.93635711637552,0
42,2020-02-14,0,196.52344170005378,0
43,2020-02-15,0,225.20048020019894,0
44,2020-02-16,0,257.2159038920147,0
45,2020-02-17,0,292.81887355212007,0
46,2020-02-18,0,332.25598717824465,0
47,2020-02-19,0,375.7675925541678,0
48,2020-02-20,0,423.5837305932181,0
49,2020-02-21,0,475.9197485267095,0
50,2020-02-22,14,532.9716358195955,0
51,2020-02-23,62,594.911149802611,0
52,2020-02-24,53,661.8808119464175,0
53,2020-02-25,97,733.9888689478606,0
54,2020-02-26,93,811.3043247868386,0
55,2020-02-27,78,893.852160056154,0
56,2020-02-28,250,981.6088625777058,0
57,2020-02-29,238,1074.4983980346392,0
58,2020-03-01,240,1172.3887505643509,0
59,2020-03-02,566,1275.0891605500296,0
60,2020-03-03,342,1382.3481799109309,0
61,2020-03-04,466,1493.8526538559984,0
62,2020-03-05,587,1609.2277223258716,0
63,2020-03-06,769,1728.0379143776393,0
64,2020-03-07,778,1849.7893849252039,0
65,2020-03-08,1247,1973.9333160846465,0
66,2020-03-09,1492,2099.870475616899,1
67,2020-03-10,1797,2226.9568934990916,0
68,2020-03-11,977,2354.51058551424,0
69,2020-03-12,2313,2481.819221046153,0
70,2020-03-13,2651,2608.148602174724,0
71,2020-03-14,2547,2732.7517938606275,0
72,2020-03-15,3497,2854.8787216118817,0
73,2020-03-16,3590,2973.7860345571344,0
74,2020-03-17,3233,3088.7470191755297,0
75,2020-03-18,3526,3199.0613427118756,0
76,2020-03-19,4207,3304.0644059596175,0
77,2020-03-20,5322,3403.136092775348,0
78,2020-03-21,5986,3495.7087182665286,0
79,2020-03-22,6557,3581.273998652097,0
80,2020-03-23,5560,3659.3888926446016,0
81,2020-03-24,4789,3729.6801959060886,0
82,2020-03-25,5249,3791.847805544683,0
83,2020-03-26,5210,3845.666609443101,0
84,2020-03-27,6153,3890.986994043292,0
85,2020-03-28,5959,3927.7340026161714,0
86,2020-03-29,5974,3955.9052126140514,0
87,2020-03-30,5217,3975.5674341210893,0
88,2020-03-31,4050,3986.8523605199703,0
89,2020-04-01,4053,3989.9513263188865,0
90,2020-04-02,4782,3985.1093449102896,0
91,2020-04-03,4668,3972.6186104082585,0
92,2020-04-04,4585,3952.811652461687,0
93,2020-04-05,4805,3926.054331172183,0
94,2020-04-06,4316,3892.7388513297797,0
95,2020-04-07,3599,3853.2769617243453,0
96,2020-04-08,3039,3808.0934871040545,0
97,2020-04-09,3836,3757.6203183957878,0
98,2020-04-10,4204,3702.2909621407293,0
99,2020-04-11,3951,3642.53572384516,0
100,2020-04-12,4694,3578.7775732127557,0
101,2020-04-13,4092,3511.428713068078,0
102,2020-04-14,3153,3440.8878491633504,0
103,2020-04-15,2972,3367.5381358103004,0
104,2020-04-16,2667,3291.7457530646643,0
105,2020-04-17,3786,3213.8590555027627,0
106,2020-04-18,3493,3134.2082207715566,0
107,2020-04-19,3491,3053.1053181846632,0
108,2020-04-20,3047,2970.844713620627,0
109,2020-04-21,2256,2887.703726642162,0
110,2020-04-22,2729,2803.943458746598,0
111,2020-04-23,3370,2719.809717521489,0
