,Date_reported,Indicator,SmoothedCases,CutDays
0,2020-01-03,0.0,1.3229491110018857e-09,0
1,2020-01-04,0.0,1.7999516294776323e-09,0
2,2020-01-05,0.0,2.436859239513335e-09,0
3,2020-01-06,0.0,3.281764168190143e-09,0
4,2020-01-07,0.0,4.394810416089278e-09,0
5,2020-01-08,0.0,5.850204366388243e-09,0
6,2020-01-09,0.0,7.738145158776006e-09,0
7,2020-01-10,0.0,1.0166468732943256e-08,0
8,2020-01-11,0.0,1.326173431801189e-08,0
9,2020-01-12,0.0,1.7169422754526357e-08,0
10,2020-01-13,0.0,2.2052876037576713e-08,0
11,2020-01-14,0.0,2.8090604860334183e-08,0
12,2020-01-15,0.0,3.547164701601064e-08,0
13,2020-01-16,0.0,4.438879679921923e-08,0
14,2020-01-17,0.0,5.502976481656094e-08,0
15,2020-01-18,0.0,6.756668466424471e-08,0
16,2020-01-19,0.0,8.214486593254864e-08,0
17,2020-01-20,0.0,9.8872301600765e-08,0
18,2020-01-21,0.0,1.1781216494729818e-07,0
19,2020-01-22,0.0,1.3898136739460965e-07,0
20,2020-01-23,0.0,1.6235919006153158e-07,0
21,2020-01-24,0.0,1.879110570734839e-07,0
22,2020-01-25,0.0,2.1563371640335366e-07,0
23,2020-01-26,0.0,2.4562948511160754e-07,0
24,2020-01-27,0.0,2.782188705211418e-07,0
25,2020-01-28,0.0,3.14102876385859e-07,0
26,2020-01-29,0.0,3.545887147028062e-07,0
27,2020-01-30,0.0,4.018955097673413e-07,0
28,2020-01-31,0.0,4.595598846890869e-07,0
29,2020-02-01,0.0,5.329649624328023e-07,0
30,2020-02-02,0.0,6.300200902739753e-07,0
31,2020-02-03,0.0,7.620221900378473e-07,0
32,2020-02-04,8.666559663543353e-06,9.447326169847231e-07,0
33,2020-02-05,0.0,1.1997052601381745e-06,0
34,2020-02-06,0.0,1.5559017764289967e-06,0
35,2020-02-07,0.0,2.051627785834248e-06,0
36,2020-02-08,0.0,2.7368191403529766e-06,0
37,2020-02-09,0.0,3.6756997936021386e-06,0
38,2020-02-10,0.0,4.949822403269262e-06,0
39,2020-02-11,0.0,6.661490002477182e-06,0
40,2020-02-12,0.0,8.937542640950716e-06,0
41,2020-02-13,0.0,1.1933477890917555e-05,0
42,2020-02-14,0.0,1.5837859787167956e-05,0
43,2020-02-15,0.0,2.087695836655212e-05,0
44,2020-02-16,0.0,2.731955247140337e-05,0
45,2020-02-17,0.0,3.548182233432729e-05,0
46,2020-02-18,0.0,4.5732255335351815e-05,0
47,2020-02-19,0.0,5.8496486922392296e-05,0
48,2020-02-20,0.0,7.426199670843936e-05,0
49,2020-02-21,0.0,9.358257401577464e-05,0
50,2020-02-22,0.0,0.00011708245388221236,0
51,2020-02-23,0.0,0.00014545999999452386,0
52,2020-02-24,0.0,0.00017949077203575515,0
53,2020-02-25,0.0,0.0002200297598151889,0
54,2020-02-26,0.0,0.00026801249577203197,0
55,2020-02-27,0.0,0.00032445467432157786,0
56,2020-02-28,0.0,0.00039044981759886336,0
57,2020-02-29,0.0,0.0004671644422970042,0
58,2020-03-01,0.0,0.0005558301142673256,0
59,2020-03-02,0.0001559980739437,0.0006577317412092414,0
60,2020-03-03,0.0001646646336073,0.000774191464794901,0
61,2020-03-04,0.0002946630285604,0.0009065475867287781,0
62,2020-03-05,0.0004593276621677,0.0010561281104622458,0
63,2020-03-06,0.000701991332747,0.0012242187085425658,0
64,2020-03-07,0.0009533215629897,0.0014120252348838434,0
65,2020-03-08,0.0002339971109156,0.0016206312829658768,0
66,2020-03-09,0.0005546598184667,0.0018509517267338532,0
67,2020-03-10,0.000814656608373,0.0021036836425151677,0
68,2020-03-11,0.0008579894066907,0.00237925646035539,0
69,2020-03-12,0.0015079813814565,0.002677783587867092,0
70,2020-03-13,0.0021666399158858,0.0029990180419512944,0
71,2020-03-14,0.0029292971662776,0.003342314768273503,0
72,2020-03-15,0.0015513141797742,0.0037066022871890454,0
73,2020-03-16,0.0018546437679982,0.004090366053169239,0
74,2020-03-17,0.0033539585897912,0.004491645446455136,0
75,2020-03-18,0.0036572881780152,0.004908045646792252,0
76,2020-03-19,0.0046279428603321,0.005336764809679259,0
77,2020-03-20,0.0061792570401064,0.005774636037980798,0
78,2020-03-21,0.0057372624972657,0.006218182695991167,0
79,2020-03-22,0.0040646164822018,0.006663684738772755,0
80,2020-03-23,0.004211947996482,0.007107253015945047,0
81,2020-03-24,0.0115091912331855,0.007544908033231108,0
82,2020-03-25,0.0103565387979343,0.007972659471322882,0
83,2020-03-26,0.0103912050365884,0.008386582892915273,0
84,2020-03-27,0.0118125208214095,0.008782890501781765,0
85,2020-03-28,0.0131558375692588,0.009157993503154367,0
86,2020-03-29,0.0073145763560305,0.009508554472411652,0
87,2020-03-30,0.0059192602502001,0.00983152906867043,0
88,2020-03-31,0.0150624806952383,0.010124197323867068,0
89,2020-04-01,0.0145684867944163,0.010384185496744292,0
90,2020-04-02,0.0131385044499317,0.010609480026934416,0
91,2020-04-03,0.012809175182717,0.010798435411226208,0
92,2020-04-04,0.0146811520700424,0.010949777843633102,0
93,2020-04-05,0.0079905680097869,0.01106260624114564,0
94,2020-04-06,0.0057632621762563,0.011136391876168791,0
95,2020-04-07,0.0167611263892928,0.01117097733163694,0
96,2020-04-08,0.0131298378902681,0.011166574968042325,0
97,2020-04-09,0.0138491623423422,0.011123764617405055,0
98,2020-04-10,0.0194044270866735,0.011043489852921012,0
99,2020-04-11,0.0202450833740372,0.01092705195470267,0
100,2020-04-12,0.0089178898937861,0.010776100605443104,0
101,2020-04-13,0.0045412772636967,0.010592620386678898,0
102,2020-04-14,0.0046539425393227,0.010378912274346742,0
103,2020-04-15,0.0135198330751276,0.010137569515286928,0
104,2020-04-16,0.0141524919305662,0.009871447473481332,0
105,2020-04-17,0.0145078208767715,0.009583627247616902,0
106,2020-04-18,0.0120811841709794,0.009277373076455986,0
107,2020-04-19,0.0062572560770783,0.008956083774918687,0
108,2020-04-20,0.0038392859309497,0.008623238698394818,0
109,2020-04-21,0.0110585301306813,0.008282339031264341,0
110,2020-04-22,0.0110065307727,0.007936845544102726,0
111,2020-04-23,0.0067339168585731,0.007590114352695327,0
112,2020-04-24,0.0084585622316183,0.00724533261184327,0
113,2020-04-25,0.0070285798871336,0.006905456441600291,0
