,Date_reported,Indicator,SmoothedCases,CutDays
999,2020-01-03,0.0,1.2822192098186662e-09,0
1000,2020-01-04,0.0,1.6508995776990298e-09,0
1001,2020-01-05,0.0,2.1241179324964737e-09,0
1002,2020-01-06,0.0,2.7309514827650757e-09,0
1003,2020-01-07,0.0,3.508352149642669e-09,0
1004,2020-01-08,0.0,4.503200624445705e-09,0
1005,2020-01-09,0.0,5.774868137540004e-09,0
1006,2020-01-10,0.0,7.3984017819756966e-09,0
1007,2020-01-11,0.0,9.468472495589912e-09,0
1008,2020-01-12,0.0,1.210425174186143e-08,0
1009,2020-01-13,0.0,1.5455413822694333e-08,0
1010,2020-01-14,0.0,1.9709495810556612e-08,0
1011,2020-01-15,0.0,2.51008863962038e-08,0
1012,2020-01-16,0.0,3.192175844949604e-08,0
1013,2020-01-17,0.0,4.0535307517859136e-08,0
1014,2020-01-18,0.0,5.1391709314367045e-08,0
1015,2020-01-19,0.0,6.504726263435135e-08,0
1016,2020-01-20,0.0,8.21872388725192e-08,0
1017,2020-01-21,0.0,1.0365301375223067e-07,0
1018,2020-01-22,0.0,1.304741089126256e-07,0
1019,2020-01-23,0.0,1.639058180080827e-07,0
1020,2020-01-24,0.0,2.054731308127978e-07,0
1021,2020-01-25,0.0,2.570216958231931e-07,0
1022,2020-01-26,0.0,3.2077657285047274e-07,0
1023,2020-01-27,0.0,3.994095174969836e-07,0
1024,2020-01-28,0.0,4.96115504269721e-07,0
1025,2020-01-29,0.0,6.146991292386535e-07,0
1026,2020-01-30,0.0,7.596714313733974e-07,0
1027,2020-01-31,0.0,9.363575289033716e-07,0
1028,2020-02-01,0.0,1.1510152785271042e-06,0
1029,2020-02-02,0.0,1.4109649269629036e-06,0
1030,2020-02-03,0.0,1.7247294330311584e-06,0
1031,2020-02-04,0.0,2.1021847922822448e-06,0
1032,2020-02-05,0.0,2.5547192948146066e-06,0
1033,2020-02-06,0.0,3.0954001919814588e-06,0
1034,2020-02-07,0.0,3.73914574305755e-06,0
1035,2020-02-08,0.0,4.50290006512973e-06,0
1036,2020-02-09,0.0,5.405807627874892e-06,0
1037,2020-02-10,0.0,6.469383631991936e-06,0
1038,2020-02-11,0.0,7.717675901590098e-06,0
1039,2020-02-12,0.0,9.177413325771287e-06,0
1040,2020-02-13,0.0,1.0878135325038218e-05,0
1041,2020-02-14,0.0,1.2852296318838739e-05,0
1042,2020-02-15,0.0,1.513533875859347e-05,0
1043,2020-02-16,0.0,1.7765727994538116e-05,0
1044,2020-02-17,0.0,2.0784942093811494e-05,0
1045,2020-02-18,0.0,2.4237409750046856e-05,0
1046,2020-02-19,0.0,2.8170389648028943e-05,0
1047,2020-02-20,0.0,3.263378509423055e-05,0
1048,2020-02-21,0.0,3.7679888413926345e-05,0
1049,2020-02-22,0.0,4.336305056051955e-05,0
1050,2020-02-23,0.0,4.973927258744887e-05,0
1051,2020-02-24,0.0,5.686571709339363e-05,0
1052,2020-02-25,0.0,6.480013945337994e-05,0
1053,2020-02-26,0.0,7.360024056715828e-05,0
1054,2020-02-27,0.0,8.332294495639665e-05,0
1055,2020-02-28,0.0,9.402361027771201e-05,0
1056,2020-02-29,0.0,0.00010575517663330489,0
1057,2020-03-01,0.0,0.0001185672663901808,0
1058,2020-03-02,0.0,0.00013250524749078385,0
1059,2020-03-03,0.0,0.0001476092753755405,0
1060,2020-03-04,0.0,0.0001639133305620954,0
1061,2020-03-05,6.0269882506877554e-05,0.00018144427055808503,0
1062,2020-03-06,0.0,0.00020022091604867764,0
1063,2020-03-07,0.0,0.00022025319212778998,0
1064,2020-03-08,0.0,0.00024154134567329547,0
1065,2020-03-09,0.0,0.0002640752597543018,0
1066,2020-03-10,0.0,0.00028783388517007085,0
1067,2020-03-11,0.0,0.00031278480783947455,0
1068,2020-03-12,9.040482376031632e-05,0.00033888396878938677,0
1069,2020-03-13,0.0,0.0003660755509515967,0
1070,2020-03-14,0.0002410795300275,0.0003942920439115443,0
1071,2020-03-15,0.0,0.0004234544942182305,0
1072,2020-03-16,0.0001506747062671,0.0004534729449405843,0
1073,2020-03-17,3.0134941253438777e-05,0.00048424706393500664,0
1074,2020-03-18,6.0269882506877554e-05,0.0005156669558790101,0
1075,2020-03-19,0.0004218891775481,0.0005476141486448876,0
1076,2020-03-20,0.0002712144712809,0.0005799627401607672,0
1077,2020-03-21,0.001446477180165,0.0006125806876636591,0
1078,2020-03-22,0.0009944530613634,0.00064533121731973,0
1079,2020-03-23,0.0001808096475206,0.0006780743286966173,0
1080,2020-03-24,0.0009944530613634,0.0007106683656389523,0
1081,2020-03-25,0.0002712144712809,0.0007429716228274456,0
1082,2020-03-26,0.0009944530613634,0.0007748439557846929,0
1083,2020-03-27,0.0006026988250687,0.0008061483613993226,0
1084,2020-03-28,0.0010848578851237,0.0008367524962246217,0
1085,2020-03-29,0.0016875567101925,0.0008665301008945704,0
1086,2020-03-30,0.0010245880026169,0.0008953623009893786,0
1087,2020-03-31,0.0016272868276856,0.0009231387575468739,0
1088,2020-04-01,0.0015368820039253,0.0009497586441001902,0
1089,2020-04-02,0.0,0.0009751314315431688,0
1090,2020-04-03,0.0016875567101925,0.0009991774671732185,0
1091,2020-04-04,0.0016272868276856,0.0010218283398029991,0
1092,2020-04-05,0.0015670169451788,0.0010430270287116372,0
1093,2020-04-06,0.0008739132963497,0.0010627278402501924,0
1094,2020-04-07,0.0013862072976581,0.0010808961419389446,0
1095,2020-04-08,0.0025313350652888,0.0010975079097031329,0
1096,2020-04-09,0.0007533735313359,0.0011125491092957187,0
1097,2020-04-10,0.0016272868276856,0.001126014937763662,0
1098,2020-04-11,0.0012656675326444,0.001137908954854634,0
1099,2020-04-12,0.0010848578851237,0.0011482421373811664,0
1100,2020-04-13,0.0019587711814735,0.0011570318916335007,0
1101,2020-04-14,0.0009040482376031,0.0011643010598688683,0
1102,2020-04-15,0.0015971518864322,0.001170076956650121,0
1103,2020-04-16,0.0008136434138428,0.0011743904693494755,0
1104,2020-04-17,0.001717691651446,0.0011772752545068377,0
1105,2020-04-18,0.00096431812011,0.0011787670580148246,0
1106,2020-04-19,0.0020793109464872,0.0011789031824152043,0
1107,2020-04-20,0.0005122940013084,0.001177722119094524,0
1108,2020-04-21,0.0007232385900825,0.0011752633570544702,0
1109,2020-04-22,0.0009944530613634,0.0011715673734257913,0
1110,2020-04-23,0.0007835084725894,0.0011666758042319192,0
1111,2020-04-24,0.0013560723564047,0.001160631787336252,0
1112,2020-04-25,0.0002410795300275,0.0011534804632693033,0
1113,2020-04-26,0.0019587711814735,0.001145269613959639,0
1114,2020-04-27,0.0009040482376031,0.0011360504144935857,0
1115,2020-04-28,0.0014766121214185,0.0011258782690790484,0
1116,2020-04-29,0.0006026988250687,0.001114813699524516,0
1117,2020-04-30,0.0027724145953163,0.0011029232528562698,0
1118,2020-05-01,0.0024107953002751,0.0010902803942265476,0
1119,2020-05-02,0.0007232385900825,0.0010769663520044993,0
1120,2020-05-03,0.0017478265926994,0.0010630708838324618,0
1121,2020-05-04,0.0005424289425618,0.0010486929353691313,0
1122,2020-05-05,0.0020793109464872,0.0010339411672852736,0
1123,2020-05-06,0.0006026988250687,0.001018934330650572,0
1124,2020-05-07,0.0012355325913909,0.0010038014759519518,0
1125,2020-05-08,0.0012053976501375,0.0009886819863995512,1
1126,2020-05-09,0.0012958024738978,0.0009737254316871013,0
1127,2020-05-10,0.0006026988250687,0.0009590912437645408,0
1128,2020-05-11,0.0008136434138428,0.0009449482212520348,0
1129,2020-05-12,0.0007232385900825,0.0009314738736980482,0
1130,2020-05-13,0.0005122940013084,0.0009188536208101994,0
1131,2020-05-14,0.000693103648829,0.000907279864950312,0
1132,2020-05-15,0.0011149928263772,0.0008969509575049964,0
1133,2020-05-16,0.0005424289425618,0.0008880700811788991,0
1134,2020-05-17,0.0009341831788566,0.0008808440708055939,0
1135,2020-05-18,0.000693103648829,0.0008754821949628347,0
1136,2020-05-19,0.0004218891775481,0.0008721949195786094,0
1137,2020-05-20,0.0005122940013084,0.0008711926729142248,0
1138,2020-05-21,0.0005122940013084,0.0008726846289253771,0
1139,2020-05-22,0.0003616192950412,0.0008768775231638052,0
1140,2020-05-23,0.0006629687075756,0.0008839745122341076,0
1141,2020-05-24,0.0005725638838153,0.000894174084511441,0
1142,2020-05-25,0.0003013494125343,0.0009076690265050133,0
1143,2020-05-26,0.0001506747062671,0.0009246454460630962,0
1144,2020-05-27,0.0003013494125343,0.0009452818506914029,0
1145,2020-05-28,0.0005725638838153,0.0009697482767176864,0
1146,2020-05-29,0.0008136434138428,0.0009982054629832375,0
1147,2020-05-30,0.000693103648829,0.0010308040612579488,0
1148,2020-05-31,0.0002712144712809,0.0010676838747180912,0
1149,2020-06-01,0.000482159060055,0.001108973115628603,0
1150,2020-06-02,0.0004218891775481,0.0011547876738422836,0
1151,2020-06-03,0.0003314843537878,0.0012052303888482516,0
1152,2020-06-04,0.000482159060055,0.001260390319826699,0
1153,2020-06-05,0.0012958024738978,0.0013203420104263518,0
1154,2020-06-06,0.0003616192950412,0.0013851447476816406,0
1155,2020-06-07,0.0012053976501375,0.0014548418175139135,0
