,Date_reported,Indicator,SmoothedCases,CutDays
2997,2020-01-03,0.0,2.2200169372998053e-09,0
2998,2020-01-04,0.0,2.726404703741778e-09,0
2999,2020-01-05,0.0,3.345472728951018e-09,0
3000,2020-01-06,0.0,4.101485544437753e-09,0
3001,2020-01-07,0.0,5.023707155914182e-09,0
3002,2020-01-08,0.0,6.147369982121805e-09,0
3003,2020-01-09,0.0,7.514815553615346e-09,0
3004,2020-01-10,0.0,9.17683337440046e-09,0
3005,2020-01-11,0.0,1.1194227426057996e-08,0
3006,2020-01-12,0.0,1.3639642995456018e-08,0
3007,2020-01-13,0.0,1.659968977715397e-08,0
3008,2020-01-14,0.0,2.0177400466584097e-08,0
3009,2020-01-15,0.0,2.449506722734273e-08,0
3010,2020-01-16,0.0,2.9697501372184942e-08,0
3011,2020-01-17,0.0,3.5955764207996284e-08,0
3012,2020-01-18,0.0,4.3471419104177976e-08,0
3013,2020-01-19,0.0,5.2481356275243257e-08,0
3014,2020-01-20,0.0,6.326324232754345e-08,0
3015,2020-01-21,0.0,7.614164609786925e-08,0
3016,2020-01-22,0.0,9.149489048955974e-08,0
3017,2020-01-23,0.0,1.097626766679747e-07,0
3018,2020-01-24,0.0,1.3145452189495126e-07,0
3019,2020-01-25,0.0,1.5715904525859314e-07,0
3020,2020-01-26,0.0,1.875541264124568e-07,0
3021,2020-01-27,0.0,2.2341795103454907e-07,0
3022,2020-01-28,0.0,2.656409429560925e-07,0
3023,2020-01-29,0.0,3.1523856675513416e-07,0
3024,2020-01-30,0.0,3.7336496609101704e-07,0
3025,2020-01-31,0.0,4.413273822791746e-07,0
3026,2020-02-01,0.0,5.206012747612359e-07,0
3027,2020-02-02,0.0,6.128460404896816e-07,0
3028,2020-02-03,0.0,7.199212031842824e-07,0
3029,2020-02-04,0.0,8.43902916381107e-07,0
3030,2020-02-05,0.0,9.871005967183334e-07,0
3031,2020-02-06,0.0,1.1520734765961027e-06,0
3032,2020-02-07,0.0,1.3416468388859555e-06,0
3033,2020-02-08,0.0,1.558927671479271e-06,0
3034,2020-02-09,0.0,1.8073194569257118e-06,0
3035,2020-02-10,0.0,2.090535793021522e-06,0
3036,2020-02-11,0.0,2.412612524776089e-06,0
3037,2020-02-12,0.0,2.7779180575226056e-06,0
3038,2020-02-13,0.0,3.191161515834875e-06,0
3039,2020-02-14,0.0,3.6573984141204573e-06,0
3040,2020-02-15,0.0,4.182033512979114e-06,0
3041,2020-02-16,0.0,4.7708205512693555e-06,0
3042,2020-02-17,0.0,5.429858567845129e-06,0
3043,2020-02-18,0.0,6.165584559523158e-06,0
3044,2020-02-19,0.0,6.984762263293591e-06,0
3045,2020-02-20,0.0,7.894466901204346e-06,0
3046,2020-02-21,0.0,8.902065785656654e-06,0
3047,2020-02-22,0.0,1.0015194750761038e-05,0
