,Date_reported,Indicator,SmoothedCases,CutDays
8991,2020-01-03,0.0,3.574772975619983e-13,0
8992,2020-01-04,0.0,5.748182812009229e-13,0
8993,2020-01-05,0.0,9.210312479235275e-13,0
8994,2020-01-06,0.0,1.4702398928751767e-12,0
8995,2020-01-07,0.0,2.337637060083958e-12,0
8996,2020-01-08,0.0,3.701204339576519e-12,0
8997,2020-01-09,0.0,5.834259997859762e-12,0
8998,2020-01-10,0.0,9.153835711537324e-12,0
8999,2020-01-11,0.0,1.4291965905425026e-11,0
9000,2020-01-12,0.0,2.2199806784223918e-11,0
9001,2020-01-13,0.0,3.429830018841251e-11,0
9002,2020-01-14,0.0,5.2694114581063074e-11,0
9003,2020-01-15,0.0,8.048612645625835e-11,0
9004,2020-01-16,0.0,1.2219608517298273e-10,0
9005,2020-01-17,0.0,1.8436770832244927e-10,0
9006,2020-01-18,0.0,2.763917028672678e-10,0
9007,2020-01-19,0.0,4.1163057206123566e-10,0
9008,2020-01-20,0.0,6.089370933974994e-10,0
9009,2020-01-21,0.0,8.946846841883037e-10,0
9010,2020-01-22,0.0,1.3054573010075092e-09,0
9011,2020-01-23,0.0,1.8915820435665015e-09,0
9012,2020-01-24,0.0,2.7217305192054253e-09,0
9013,2020-01-25,0.0,3.88886687151203e-09,0
9014,2020-01-26,0.0,5.5178831657572565e-09,0
9015,2020-01-27,0.0,7.775338920846238e-09,0
9016,2020-01-28,0.0,1.088181367429738e-08,0
9017,2020-01-29,0.0,1.5127492426418394e-08,0
9018,2020-01-30,0.0,2.0891736388936395e-08,0
9019,2020-01-31,0.0,2.866754789192501e-08,0
9020,2020-02-01,0.0,3.909201971789308e-08,0
9021,2020-02-02,0.0,5.298406488612742e-08,0
9022,2020-02-03,0.0,7.139094981520454e-08,0
9023,2020-02-04,0.0,9.56453953955544e-08,0
9024,2020-02-05,0.0,1.274352565538269e-07,0
9025,2020-02-06,0.0,1.6888802715768703e-07,0
9026,2020-02-07,0.0,2.2267262577612508e-07,0
9027,2020-02-08,0.0,2.921210785904152e-07,0
9028,2020-02-09,0.0,3.813728078395889e-07,0
9029,2020-02-10,0.0,4.955442390012391e-07,0
9030,2020-02-11,0.0,6.409263444092317e-07,0
9031,2020-02-12,0.0,8.252125411127432e-07,0
9032,2020-02-13,0.0,1.0577590642207186e-06,0
9033,2020-02-14,0.0,1.3498795647058514e-06,0
9034,2020-02-15,0.0,1.7151752658205922e-06,0
9035,2020-02-16,0.0,2.1699015959531778e-06,0
9036,2020-02-17,0.0,2.7333718386728555e-06,0
9037,2020-02-18,0.0,3.428398031239375e-06,0
9038,2020-02-19,0.0,4.281769101736119e-06,0
9039,2020-02-20,0.0,5.324766018766447e-06,0
9040,2020-02-21,0.0,6.593713433370726e-06,0
9041,2020-02-22,0.0,8.130566747644158e-06,0
9042,2020-02-23,0.0,9.983532504308839e-06,0
9043,2020-02-24,0.0,1.220771815212797e-05,0
9044,2020-02-25,0.0,1.4865804266711356e-05,0
9045,2020-02-26,5.190693087294481e-06,1.8028727869556962e-05,0
9046,2020-02-27,0.0,2.177635933592157e-05,0
9047,2020-02-28,1.0381386174588964e-05,2.6198147402113436e-05,0
9048,2020-02-29,5.190693087294481e-06,3.139369707868186e-05,0
9049,2020-03-01,0.0,3.747323423328963e-05,0
9050,2020-03-02,0.0,4.455789893883218e-05,0
9051,2020-03-03,0.0,5.277979844123479e-05,0
9052,2020-03-04,1.0381386174588964e-05,6.22817411470259e-05,0
9053,2020-03-05,0.0,7.32165669460541e-05,0
9054,2020-03-06,5.190693087294481e-06,8.574598813933266e-05,0
9055,2020-03-07,3.1144158523766886e-05,0.000100038860811486,0
9056,2020-03-08,1.0381386174588964e-05,0.00011626881994218848,0
9057,2020-03-09,1.0381386174588964e-05,0.00013461123363941863,0
9058,2020-03-10,4.152554469835585e-05,0.0001552394626289402,0
9059,2020-03-11,0.0001038138617458,0.00017832044971592966,0
9060,2020-03-12,9.862316865859515e-05,0.00020400970858487115,0
9061,2020-03-13,0.0001297673271823,0.0002324458293685348,0
9062,2020-03-14,0.000124576634095,0.0002637446664939171,0
9063,2020-03-15,0.0001349580202696,0.00029799341850355443,0
9064,2020-03-16,0.0001193859410077,0.00033524484579751276,0
9065,2020-03-17,0.0001712928718807,0.0003755118967228233,0
9066,2020-03-18,0.0001141952479204,0.00041876302197256705,0
9067,2020-03-19,0.0002231998027536,0.00046491844967703317,0
9068,2020-03-20,8.824178248400618e-05,0.0005138476680047446,0
9069,2020-03-21,0.0001609114857061,0.0005653683191384421,0
9070,2020-03-22,0.0003062508921503,0.0006192466502340084,0
9071,2020-03-23,0.0003425857437614,0.0006751995968449993,0
9072,2020-03-24,0.0007422691114831,0.0007328984968128913,0
9073,2020-03-25,0.0009654689142367,0.0007919743529764569,0
9074,2020-03-26,0.0007474598045704,0.0008520244866538429,0
9075,2020-03-27,0.0006384552497372,0.000912620355842686,0
9076,2020-03-28,0.0013651522819584,0.0009733162568945449,0
9077,2020-03-29,0.0008305108939671,0.0010336585893913695,0
9078,2020-03-30,0.0015987334708867,0.0010931953430881407,0
9079,2020-03-31,0.0009966130727605,0.001151485463644788,0
9080,2020-04-01,0.0015208730745772,0.0012081077695973634,0
9081,2020-04-02,0.0011159990137683,0.0012626691245133633,0
9082,2020-04-03,0.0014430126782678,0.0013148116124665908,0
9083,2020-04-04,0.002309858423846,0.0013642185181501518,0
9084,2020-04-05,0.0022319980275366,0.0014106189711586205,0
9085,2020-04-06,0.0013028639649109,0.001453791173346799,0
9086,2020-04-07,0.0010018037658478,0.0014935641852565492,0
9087,2020-04-08,0.001868649511426,0.0015298182995866967,0
9088,2020-04-09,0.0017855984220293,0.0015624840745541303,0
9089,2020-04-10,0.0022890956514968,0.001591540136603381,0
9090,2020-04-11,0.001375533668133,0.0016170098899409248,0
9091,2020-04-12,0.002714732484655,0.0016389572901968,0
9092,2020-04-13,0.0016091148570612,0.0016574818521116117,0
9093,2020-04-14,0.001728500798069,0.0016727130678422096,0
9094,2020-04-15,0.0012769104994744,0.0016848044147620626,0
9095,2020-04-16,0.0017492635704182,0.001693927130940516,0
9096,2020-04-17,0.0025486303058615,0.0017002639340195805,0
9097,2020-04-18,0.001868649511426,0.0017040028557803663,0
9098,2020-04-19,0.0018219332736403,0.0017053313606250915,0
9099,2020-04-20,0.0017025473326325,0.0017044309112799745,0
9100,2020-04-21,0.0009862316865859,0.0017014721385190848,0
9101,2020-04-22,0.0015883520847121,0.0016966107624639061,0
9102,2020-04-23,0.0024292443648538,0.0016899843996042224,0
9103,2020-04-24,0.0020036075316956,0.0016817103706361634,0
9104,2020-04-25,0.0016662124810215,0.0016718845982495903,0
9105,2020-04-26,0.0011315710930301,0.0016605816503209507,0
9106,2020-04-27,0.002081467928005,0.001647855942510481,0
9107,2020-04-28,0.0015727800054502,0.0016337440658845501,0
9108,2020-04-29,0.0014378219851805,0.001618268151784489,0
9109,2020-04-30,0.0018790308976006,0.0016014401306688269,0
9110,2020-05-01,0.0013599615888711,0.0015832666878692597,0
9111,2020-05-02,0.0016973566395452,0.0015637546715097372,0
9112,2020-05-03,0.0008564643594035,0.001542916670803304,0
9113,2020-05-04,0.0022371887206239,0.0015207764608013022,0
9114,2020-05-05,0.0018115518874657,0.0014973740058199436,0
9115,2020-05-06,0.0016869752533707,0.0014727697302816872,0
9116,2020-05-07,0.0014014871335695,0.0014470478029568585,0
9117,2020-05-08,0.0020347516902194,0.0014203182370419074,0
9118,2020-05-09,0.0016194962432358,0.0013927176807239316,0
9119,2020-05-10,0.0016610217879342,0.0013644088557281198,0
9120,2020-05-11,0.001199050103165,0.001335578688436948,0
9121,2020-05-12,0.0011730966377285,0.0013064352624528827,0
9122,2020-05-13,0.0009862316865859,0.0012772037959238648,0
9123,2020-05-14,0.0011627152515539,0.0012481219052801016,0
9124,2020-05-15,0.0012717198063871,0.0012194344543521225,0
9125,2020-05-16,0.0009862316865859,0.0011913883011669289,0
9126,2020-05-17,0.0013859150543076,0.0011642272432755842,0
9127,2020-05-18,0.0008668457455781,0.0011381874277605613,0
9128,2020-05-19,0.0008564643594035,0.0011134934377309297,0
9129,2020-05-20,0.0008045574285306,0.001090355198498015,0
9130,2020-05-21,0.0010173758451097,0.001068965770273595,0
9131,2020-05-22,0.0010277572312843,0.0010495000172102322,0
9132,2020-05-23,0.0006592180220863,0.001032114071807607,0
9133,2020-05-24,0.0007526504976576,0.00101694545522894,0
9134,2020-05-25,0.0011056176275937,0.0010041136726495687,0
9135,2020-05-26,0.0011056176275937,0.0009937210814055055,0
