,Date_reported,Indicator,SmoothedCases,CutDays
11988,2020-01-03,0.0,1.2010335472430922e-07,0
11989,2020-01-04,0.0,1.5395333201518612e-07,0
11990,2020-01-05,0.0,1.9664193003420365e-07,0
11991,2020-01-06,0.0,2.502164224928871e-07,0
11992,2020-01-07,0.0,3.171053918564017e-07,0
11993,2020-01-08,0.0,4.001578446969807e-07,0
11994,2020-01-09,0.0,5.026751740558298e-07,0
11995,2020-01-10,0.0,6.284312536104175e-07,0
11996,2020-01-11,0.0,7.816751035500371e-07,0
11997,2020-01-12,0.0,9.671099541981438e-07,0
11998,2020-01-13,0.0,1.189842331704598e-06,0
11999,2020-01-14,0.0,1.4552952058132394e-06,0
12000,2020-01-15,0.0,1.7690804802435438e-06,0
12001,2020-01-16,0.0,2.136828349634959e-06,0
12002,2020-01-17,0.0,2.5639744033658318e-06,0
12003,2020-01-18,0.0,3.0555098284429846e-06,0
12004,2020-01-19,0.0,3.61570551403522e-06,0
12005,2020-01-20,0.0,4.247826997614487e-06,0
12006,2020-01-21,0.0,4.9538635821092515e-06,0
12007,2020-01-22,0.0,5.734301057876217e-06,0
12008,2020-01-23,0.0,6.587972713295589e-06,0
12009,2020-01-24,0.0,7.5120272007866546e-06,0
12010,2020-01-25,0.0,8.502053977865007e-06,0
12011,2020-01-26,0.0,9.552407329748504e-06,0
12012,2020-01-27,0.0,1.0656768539106683e-05,0
12013,2020-01-28,0.0,1.1808983016374546e-05,0
12014,2020-01-29,0.0,1.3004205796016368e-05,0
12015,2020-01-30,0.0,1.4240385557600223e-05,0
12016,2020-01-31,0.0,1.5520115123513204e-05,0
12017,2020-02-01,1.4907350814686725e-05,1.6852876045746715e-05,0
12018,2020-02-02,0.0,1.8257707095373086e-05,0
12019,2020-02-03,0.0,1.976633163844021e-05,0
12020,2020-02-04,1.4907350814686725e-05,2.142678713771103e-05,0
12021,2020-02-05,0.0002683323146643,2.3307611124668376e-05,0
12022,2020-02-06,0.0,2.550265133672247e-05,0
12023,2020-02-07,1.4907350814686725e-05,2.813658235197607e-05,0
12024,2020-02-08,0.0,3.1371225704313876e-05,0
12025,2020-02-09,0.0,3.541278360131317e-05,0
12026,2020-02-10,4.4722052444060165e-05,4.052010631196916e-05,0
12027,2020-02-11,1.4907350814686725e-05,4.701411830224872e-05,0
12028,2020-02-12,1.4907350814686725e-05,5.528852659954175e-05,0
12029,2020-02-13,5.962940325874689e-05,6.582192516816794e-05,0
12030,2020-02-14,1.4907350814686725e-05,7.919139006664905e-05,0
12031,2020-02-15,1.4907350814686725e-05,9.608763098155527e-05,0
12032,2020-02-16,0.0,0.00011733172493378946,0
12033,2020-02-17,0.0,0.00014389340745039108,0
12034,2020-02-18,0.0,0.00017691083551563306,0
12035,2020-02-19,1.4907350814686725e-05,0.00021771166557493156,0
12036,2020-02-20,0.0,0.00026783520921190806,0
12037,2020-02-21,0.0,0.0003290553391668606,0
12038,2020-02-22,0.0,0.00040340371915352713,0
12039,2020-02-23,2.981470162937345e-05,0.0004931928221565975,0
12040,2020-02-24,0.0,0.0006010380829598338,0
12041,2020-02-25,8.944410488812033e-05,0.0007298784008965607,0
12042,2020-02-26,2.981470162937345e-05,0.0008829940679098057,0
12043,2020-02-27,4.4722052444060165e-05,0.0010640210456103667,0
12044,2020-02-28,2.981470162937345e-05,0.001276960355557992,0
12045,2020-02-29,0.0001192588065174,0.0015261811845871148,0
12046,2020-03-01,0.0001788882097762,0.0018164161503754152,0
12047,2020-03-02,5.962940325874689e-05,0.0021527470346667486,0
12048,2020-03-03,0.0002981470162937,0.0025405791903818247,0
12049,2020-03-04,0.0006112013834021,0.0029856027866050935,0
12050,2020-03-05,0.0008497189964371,0.0034937390981272538,0
12051,2020-03-06,0.0008348116456224,0.004071070201838885,0
12052,2020-03-07,0.0007304601899196,0.004723750738266841,0
12053,2020-03-08,0.0012373101176189,0.00545790085659085,0
12054,2020-03-09,0.0010136998553986,0.006279480101709781,0
12055,2020-03-10,0.0008199042948077,0.007194142827049988,0
12056,2020-03-11,0.0022062879205736,0.008207076716495367,0
12057,2020-03-12,0.0039504479658919,0.009322827144904131,0
12058,2020-03-13,0.0060076623783187,0.01054511135163084,0
12059,2020-03-14,0.0072151577943083,0.011876627678573963,0
12060,2020-03-15,0.0071257136894202,0.013318866349767682,0
12061,2020-03-16,0.0052473874867697,0.014871929346886565,0
12062,2020-03-17,0.0065741417092768,0.016534367761097638,0
12063,2020-03-18,0.0089742251904414,0.018303045474575647,0
12064,2020-03-19,0.0116724556878997,0.020173038052929415,0
12065,2020-03-20,0.0146688332016517,0.022137575240408915,0
12066,2020-03-21,0.0155036448472741,0.024188034398931014,0
12067,2020-03-22,0.0186789105708024,0.026313990611268965,0
12068,2020-03-23,0.0176353960137743,0.028503327010923344,0
12069,2020-03-24,0.0202889044587886,0.030742406282682627,0
12070,2020-03-25,0.0341229260148179,0.03301630131811287,0
12071,2020-03-26,0.0350769964669578,0.03530907986719332,0
12072,2020-03-27,0.0397429972719548,0.037604134889567035,0
12073,2020-03-28,0.0453034391258329,0.03988454938401399,0
