,Date_reported,New_cases,SmoothedCases,CutDays
11988,2020-01-03,0,0.08776608192288853,0
11989,2020-01-04,0,0.09882832337896362,0
11990,2020-01-05,0,0.11115391461837525,0
11991,2020-01-06,0,0.12487189237058219,0
11992,2020-01-07,0,0.1401248090286395,0
11993,2020-01-08,0,0.15707118340862286,0
11994,2020-01-09,0,0.17588872250432833,0
11995,2020-01-10,0,0.1967785519689753,0
11996,2020-01-11,0,0.21997075126380217,0
11997,2020-01-12,0,0.24573155762328264,0
11998,2020-01-13,0,0.2743726818550108,0
11999,2020-01-14,0,0.30626326893427736,0
12000,2020-01-15,0,0.34184513746169415,0
12001,2020-01-16,0,0.3816520440161959,0
12002,2020-01-17,0,0.4263338404661816,0
12003,2020-01-18,0,0.47668652306808257,0
12004,2020-01-19,0,0.5336893097686698,0
12005,2020-01-20,0,0.5985500240136484,0
12006,2020-01-21,0,0.6727602064292537,0
12007,2020-01-22,0,0.7581615162951305,0
12008,2020-01-23,0,0.8570251185565186,0
12009,2020-01-24,0,0.9721458745641233,0
12010,2020-01-25,0,1.1069532607117636,0
12011,2020-01-26,0,1.2656410232311885,0
12012,2020-01-27,0,1.4533176338042613,0
12013,2020-01-28,0,1.6761796331626462,0
12014,2020-01-29,0,1.9417099317604918,0
12015,2020-01-30,0,2.25890307058118,0
12016,2020-01-31,0,2.638519323020343,0
12017,2020-02-01,1,3.0933693314437654,0
12018,2020-02-02,0,3.6386307092192673,0
12019,2020-02-03,0,4.29219768939665,0
12020,2020-02-04,1,5.075064452346407,0
12021,2020-02-05,18,6.011742203383108,0
12022,2020-02-06,0,7.1307093842192355,0
12023,2020-02-07,1,8.46489357596104,0
12024,2020-02-08,0,10.05218267455721,0
12025,2020-02-09,0,11.935961782916255,0
12026,2020-02-10,3,14.165670961887635,0
12027,2020-02-11,1,16.797377514754672,0
12028,2020-02-12,1,19.894354853339347,0
12029,2020-02-13,4,23.527658223008682,0
12030,2020-02-14,1,27.77668567314958,0
12031,2020-02-15,1,32.72971068422838,0
12032,2020-02-16,0,38.484370849359884,0
12033,2020-02-17,0,45.14809501676757,0
12034,2020-02-18,0,52.838449401570756,0
12035,2020-02-19,1,61.68338145507867,0
12036,2020-02-20,0,71.82133883239537,0
12037,2020-02-21,0,83.40123972911036,0
12038,2020-02-22,0,96.58227027630313,0
12039,2020-02-23,2,111.53348470432616,0
12040,2020-02-24,0,128.43318472294504,0
12041,2020-02-25,6,147.46805612507583,0
12042,2020-02-26,2,168.83204309782127,0
12043,2020-02-27,3,192.7249441930425,0
12044,2020-02-28,2,219.35071841964975,0
12045,2020-02-29,8,248.9154954875619,0
12046,2020-03-01,12,281.62529083567466,0
12047,2020-03-02,4,317.6834336444417,0
12048,2020-03-03,20,357.2877244488561,0
12049,2020-03-04,41,400.6273480575734,0
12050,2020-03-05,57,447.8795770225523,0
12051,2020-03-06,56,499.2063106128441,0
12052,2020-03-07,49,554.7505038007814,0
12053,2020-03-08,83,614.6325498046042,0
12054,2020-03-09,68,678.9466878565736,0
12055,2020-03-10,55,747.7575146747912,0
12056,2020-03-11,148,821.0966832091063,0
12057,2020-03-12,265,898.9598752288896,0
12058,2020-03-13,403,981.3041348892469,0
12059,2020-03-14,484,1068.04564828362,0
12060,2020-03-15,478,1159.0580489808751,0
12061,2020-03-16,352,1254.1713215732418,0
12062,2020-03-17,441,1353.1713643648347,0
12063,2020-03-18,602,1455.8002586734997,0
12064,2020-03-19,783,1561.757276097994,0
12065,2020-03-20,984,1670.7006369439114,0
12066,2020-03-21,1040,1782.2500133517897,0
12067,2020-03-22,1253,1895.9897501792661,0
