,Date_reported,New_cases,SmoothedCases,CutDays
13986,2020-01-03,0,0.18405379518845524,0
13987,2020-01-04,0,0.19814581727558017,0
13988,2020-01-05,0,0.21331239958612233,0
13989,2020-01-06,0,0.22967385846387903,0
13990,2020-01-07,0,0.2473796494692178,0
13991,2020-01-08,0,0.2666177467403087,0
13992,2020-01-09,0,0.2876269226866317,0
13993,2020-01-10,0,0.31071274850720954,0
13994,2020-01-11,0,0.3362683459916164,0
13995,2020-01-12,0,0.3648011780211805,0
13996,2020-01-13,0,0.39696747749256245,0
13997,2020-01-14,0,0.4336162911737725,0
13998,2020-01-15,0,0.4758455660370636,0
13999,2020-01-16,0,0.5250732410259747,0
14000,2020-01-17,0,0.5831269371320471,0
14001,2020-01-18,0,0.6523565726942404,0
14002,2020-01-19,0,0.7357750774328735,0
14003,2020-01-20,1,0.8372333443396933,0
14004,2020-01-21,0,0.961636646636099,0
14005,2020-01-22,0,1.1152109569192825,0
14006,2020-01-23,0,1.305828931238362,0
14007,2020-01-24,0,1.54340674919813,0
14008,2020-01-25,5,1.84038451087811,0
14009,2020-01-26,1,2.212304450969009,0
14010,2020-01-27,0,2.6785027970545046,0
14011,2020-01-28,1,3.2629326162739782,0
14012,2020-01-29,0,3.995136392097318,0
14013,2020-01-30,0,4.911388264500476,0
14014,2020-01-31,0,6.056026750136096,0
14015,2020-02-01,0,7.4829992155604295,0
14016,2020-02-02,1,9.257639272010382,0
14017,2020-02-03,1,11.458697446433899,0
14018,2020-02-04,3,14.1806438010488,0
14019,2020-02-05,4,17.536258456126795,0
14020,2020-02-06,2,21.659522050014445,0
14021,2020-02-07,0,26.708812884515297,0
14022,2020-02-08,0,32.87041070543466,0
14023,2020-02-09,1,40.36229863558466,0
14024,2020-02-10,0,49.43824462666731,0
14025,2020-02-11,0,60.39213189370101,0
14026,2020-02-12,0,73.56249417195319,0
14027,2020-02-13,0,89.33719640067386,0
14028,2020-02-14,2,108.15818479006586,0
14029,2020-02-15,1,130.52621246933532,0
14030,2020-02-16,1,157.00542845552928,0
14031,2020-02-17,0,188.22769905023543,0
14032,2020-02-18,0,224.89651260224838,0
14033,2020-02-19,2,267.7903016136633,0
14034,2020-02-20,5,317.76500125258775,0
14035,2020-02-21,3,375.7556513790036,0
14036,2020-02-22,1,442.7768411483303,0
14037,2020-02-23,5,519.9217920984185,0
14038,2020-02-24,8,608.3598782892142,0
14039,2020-02-25,0,709.3323914139833,0
14040,2020-02-26,4,824.1463755753996,0
14041,2020-02-27,4,954.1663811808008,0
14042,2020-02-28,8,1100.80402049251,0
14043,2020-02-29,5,1265.5052488294427,0
14044,2020-03-01,4,1449.7353449958473,0
14045,2020-03-02,9,1654.9616216017412,0
14046,2020-03-03,18,1882.6339595553627,0
14047,2020-03-04,35,2134.163329789661,0
14048,2020-03-05,51,2410.8985375018656,0
14049,2020-03-06,70,2714.1014977647424,0
14050,2020-03-07,78,3044.9214239413573,0
14051,2020-03-08,130,3404.368379301935,0
14052,2020-03-09,146,3793.2867048530607,0
14053,2020-03-10,212,4212.328889846952,0
14054,2020-03-11,390,4661.930493003252,0
14055,2020-03-12,497,5142.286749589779,0
14056,2020-03-13,525,5653.3315099172205,0
14057,2020-03-14,727,6194.719146677711,0
14058,2020-03-15,968,6765.810040610098,0
14059,2020-03-16,1219,7365.660205558588,0
14060,2020-03-17,2135,7993.0155451818355,0
14061,2020-03-18,2369,8646.311145219748,0
14062,2020-03-19,3229,9323.675898993526,0
14063,2020-03-20,4862,10022.942642154037,0
14064,2020-03-21,6113,10741.663838810626,0
14065,2020-03-22,7559,11477.132718942277,0
14066,2020-03-23,9110,12226.409620844728,0
14067,2020-03-24,10765,12986.35314713138,0
14068,2020-03-25,10754,13753.655603537487,0
14069,2020-03-26,11332,14524.882061553097,0
14070,2020-03-27,14115,15296.512273617802,0
14071,2020-03-28,18474,16064.98457772781,0
14072,2020-03-29,20344,16826.740860693437,0
14073,2020-03-30,20672,17578.27160899205,0
14074,2020-03-31,26162,18316.16006526059,0
14075,2020-04-01,15536,19037.124527935834,0
14076,2020-04-02,23260,19738.057881170695,0
14077,2020-04-03,28674,20416.063520515876,0
14078,2020-04-04,29790,21068.486944368993,0
14079,2020-04-05,32057,21692.942408177776,0
14080,2020-04-06,32134,22287.3341832226,0
14081,2020-04-07,26984,22849.872119123957,0
14082,2020-04-08,28629,23379.08137314134,0
14083,2020-04-09,29354,23873.8063337153,0
14084,2020-04-10,34148,24333.208924455135,0
14085,2020-04-11,34743,24756.76162209939,0
14086,2020-04-12,33179,25144.235652670734,0
14087,2020-04-13,31533,25495.684939722105,0
14088,2020-04-14,27092,25811.42646385968,0
14089,2020-04-15,25244,26092.01775141671,0
14090,2020-04-16,25259,26338.232241271795,0
14091,2020-04-17,25208,26551.03328263455,0
14092,2020-04-18,31494,26731.547494643917,0
14093,2020-04-19,30316,26881.038173403285,0
14094,2020-04-20,28280,27000.879367089823,0
14095,2020-04-21,26070,27092.53115919427,0
14096,2020-04-22,26428,27157.516608393118,0
14097,2020-04-23,25927,27197.40069583373,0
14098,2020-04-24,30469,27213.771531454076,0
14099,2020-04-25,33211,27208.22397477287,0
14100,2020-04-26,34778,27182.34573624318,0
14101,2020-04-27,33602,27137.70594593045,0
14102,2020-04-28,26063,27075.846109287053,0
14103,2020-04-29,23757,26998.27331659341,0
14104,2020-04-30,23935,26906.45553375983,0
14105,2020-05-01,26772,26801.818777319582,0
14106,2020-05-02,31221,26685.745964521342,0
14107,2020-05-03,33082,26559.577228749742,0
14108,2020-05-04,28292,26424.611498912793,0
14109,2020-05-05,25926,26282.10915649153,0
14110,2020-05-06,22324,26133.295603112878,0
14111,2020-05-07,22878,25979.36559230944,0
14112,2020-05-08,25440,25821.48819932396,0
14113,2020-05-09,28552,25660.812320501755,0
14114,2020-05-10,28830,25498.472607528314,0
14115,2020-05-11,25917,25335.595750541037,0
14116,2020-05-12,20656,25173.307027507108,0
14117,2020-05-13,19949,25012.737035239872,0
14118,2020-05-14,23902,24855.028510487246,0
14119,2020-05-15,17335,24701.34313850399,0
14120,2020-05-16,34642,24552.868232533718,0
14121,2020-05-17,26628,24410.823151982095,0
14122,2020-05-18,26080,24276.465311158794,1
14123,2020-05-19,19916,24151.0956157011,0
14124,2020-05-20,22744,24036.06315148842,0
14125,2020-05-21,21922,23932.768942190796,0
14126,2020-05-22,23506,23842.668587551067,0
14127,2020-05-23,26191,23767.273595838677,0
14128,2020-05-24,25963,23708.151231151383,0
14129,2020-05-25,21465,23666.92270965377,0
14130,2020-05-26,20651,23645.259598462053,0
14131,2020-05-27,19379,23644.878296530078,0
14132,2020-05-28,17509,23667.5325081683,0
14133,2020-05-29,19508,23715.00365616565,0
14134,2020-05-30,24182,23789.089222147235,0
14135,2020-05-31,23741,23891.589045912995,0
14136,2020-06-01,24127,24024.28966206222,0
14137,2020-06-02,21466,24188.946800109316,0
14138,2020-06-03,17157,24387.266222345268,0
14139,2020-06-04,20974,24620.883120634506,0
14140,2020-06-05,20695,24891.340337861748,0
14141,2020-06-06,20870,25200.065720545692,0
14142,2020-06-07,24491,25548.348944934365,0
14143,2020-06-08,23285,25937.31818847911,0
14144,2020-06-09,18455,26367.917040851866,0
14145,2020-06-10,18151,26840.88206270011,0
14146,2020-06-11,18581,27356.72140541017,0
14147,2020-06-12,22181,27915.69490082888,0
14148,2020-06-13,22890,28517.796016028773,0
14149,2020-06-14,28333,29162.73604497463,0
14150,2020-06-15,26434,29849.930876881423,0
14151,2020-06-16,20778,30578.490640998436,0
14152,2020-06-17,20591,31347.21248066837,0
14153,2020-06-18,24777,32154.57665721508,0
14154,2020-06-19,25815,32998.74612811975,0
14155,2020-06-20,28520,33877.56968578847,0
14156,2020-06-21,33104,34788.58868475252,0
14157,2020-06-22,33467,35729.04732807497,0
14158,2020-06-23,27345,36695.90642960512,0
14159,2020-06-24,28698,37685.860518829824,0
14160,2020-06-25,37887,38695.35811041873,0
14161,2020-06-26,37320,39720.6249217965,0
14162,2020-06-27,47022,40757.68978947383,0
14163,2020-06-28,46539,41802.4130083367,0
14164,2020-06-29,43653,42850.51679719825,0
14165,2020-06-30,37583,43897.61757795001,0
14166,2020-07-01,38517,44939.25974369993,0
14167,2020-07-02,47253,45970.950582338264,0
14168,2020-07-03,59342,46988.19601501459,0
14169,2020-07-04,55452,47986.53680312673,0
14170,2020-07-05,60366,48961.584871904255,0
14171,2020-07-06,48977,49909.05939308098,0
14172,2020-07-07,40413,50824.82226340086,0
14173,2020-07-08,50763,51704.912610060775,0
14174,2020-07-09,56753,52545.579949302235,0
14175,2020-07-10,64774,53343.315621194364,0
14176,2020-07-11,61941,54094.88212343824,0
14177,2020-07-12,68578,54797.33997118484,0
14178,2020-07-13,68262,55448.07171987016,0
14179,2020-07-14,58680,56044.8028053484,0
14180,2020-07-15,56287,56585.61888137129,0
14181,2020-07-16,64516,57068.97936962918,0
14182,2020-07-17,72389,57493.72698262677,0
14183,2020-07-18,69181,57859.09303459266,0
14184,2020-07-19,76952,58164.698419841734,0
14185,2020-07-20,67324,58410.550210359455,0
14186,2020-07-21,60012,58597.03390314535,0
14187,2020-07-22,58519,58724.90143081399,0
14188,2020-07-23,63336,58795.25513348621,0
14189,2020-07-24,72416,58809.5279731944,0
14190,2020-07-25,73142,58769.460350834524,0
14191,2020-07-26,73151,58677.073957099856,0
14192,2020-07-27,61595,58534.64315000365,0
14193,2020-07-28,57759,58344.66440005903,0
14194,2020-07-29,54007,58109.82437795341,0
14195,2020-07-30,58708,57832.96727725062,0
14196,2020-07-31,64855,57517.06196559113,0
14197,2020-08-01,66140,57165.16954207744,0
14198,2020-08-02,68185,56780.41184679804,0
14199,2020-08-03,56412,56365.94142220943,0
14200,2020-08-04,50849,55924.91336741326,0
14201,2020-08-05,45328,55460.45945775788,0
14202,2020-08-06,52056,54975.664826530614,0
14203,2020-08-07,55592,54473.547425813005,0
14204,2020-08-08,53165,53957.04040289285,0
14205,2020-08-09,62506,53428.97744984081,0
14206,2020-08-10,51679,52892.08110955594,0
14207,2020-08-11,46474,52348.95395392794,0
14208,2020-08-12,43377,51802.07249043361,0
14209,2020-08-13,58958,51253.78360361078,0
14210,2020-08-14,54391,50706.303298031555,0
14211,2020-08-15,51524,50161.71747971189,0
14212,2020-08-16,56259,49621.9844930021,0
14213,2020-08-17,51137,49088.9391192077,0
14214,2020-08-18,41495,48564.29774057708,0
14215,2020-08-19,41589,48049.66437782282,0
14216,2020-08-20,41625,47546.537319978546,0
14217,2020-08-21,46574,47056.31608117462,0
14218,2020-08-22,46185,46580.308439041335,0
14219,2020-08-23,47181,46119.7373333004,0
14220,2020-08-24,42550,45675.74743025325,0
14221,2020-08-25,36211,45249.41118904835,0
14222,2020-08-26,35716,44841.73429863296,0
14223,2020-08-27,40574,44453.66039001192,0
14224,2020-08-28,46430,44086.074966618566,0
14225,2020-08-29,46919,43739.808535864446,0
14226,2020-08-30,46546,43415.638966650266,0
14227,2020-08-31,40909,43114.29313988344,0
14228,2020-09-01,36635,42836.44800064097,0
14229,2020-09-02,38696,42582.73116003936,0
14230,2020-09-03,39178,42353.72123039205,0
14231,2020-09-04,43649,42149.94810698593,0
14232,2020-09-05,45271,41971.89343191259,0
14233,2020-09-06,50917,41819.99148811119,0
14234,2020-09-07,41129,41694.63077366436,0
14235,2020-09-08,34238,41596.156496424475,0
14236,2020-09-09,24876,41524.87420678257,1
14237,2020-09-10,28054,41481.05475202438,0
14238,2020-09-11,34660,41464.940690151176,0
14239,2020-09-12,38583,41476.754245868186,0
14240,2020-09-13,44082,41516.70682889011,0
14241,2020-09-14,40371,41585.01006752903,0
14242,2020-09-15,32888,41681.88824182653,0
14243,2020-09-16,34336,41807.59193354835,0
14244,2020-09-17,36815,41962.41264841598,0
14245,2020-09-18,43910,42146.69811198165,0
14246,2020-09-19,44531,42360.8678970848,0
14247,2020-09-20,48128,42605.429009744796,0
