firstDerivate_new_cases,smoothedFD_new_cases,secondDerivate_new_cases
,,
1.7400268494527643e-08,,
2.85878646292873e-08,,
5.537826817859216e-08,,
6.723188329834221e-08,,
9.26917687171464e-08,,
1.2600340977467523e-07,,
1.6805917898269286e-07,,
2.1277862657353985e-07,,
2.873958718251176e-07,,
3.7185346047035733e-07,,
4.795784791238133e-07,,
5.6638100340052e-07,,
7.601100213406902e-07,,
9.604180966168223e-07,,
1.1880496501535059e-06,,
1.5089511145699073e-06,,
1.8665851375729515e-06,,
2.280981165559407e-06,,
2.8058426312162344e-06,,
3.4530257258867214e-06,,
4.248047287007345e-06,,
5.182087272542453e-06,,
6.291134342029744e-06,,
7.541253564255219e-06,,
9.018619244902413e-06,,
1.0798425932011646e-05,,
1.2858427099724366e-05,,
1.529479429196401e-05,,
1.8074952697873435e-05,,
2.1289413821495753e-05,,
2.494947396886342e-05,,
2.9112457262588337e-05,,
3.389149765326859e-05,,
3.9336184290167956e-05,,
4.54478365230443e-05,,
5.231202470888175e-05,,
5.9997890250491816e-05,,
6.852307219371728e-05,,
7.795239305511342e-05,,
8.83465553580098e-05,,
9.97987749306894e-05,,
0.00011228630034989108,,
0.00012582462136203915,,
0.0001404905689143159,,
0.00015620255379695364,,
0.0001729767523664166,,
0.00019082604190443484,,
0.0002096759453695837,,
0.00022952478151010126,,
0.00025018723999452276,,
0.0002716134439496765,,
0.00029364817665356296,,
0.0003161398136994312,,
0.0003389780972342638,,
0.00036193871862120726,,
0.00038474885169687695,,
0.00040726561764633726,,
0.00042916705534164646,,
0.0004502532971155781,0.0003420471350223864,
0.00047021553851269923,0.00034760423359660956,5.557098574223167e-06
0.0004888383442680022,0.0003522395991926147,4.635365596005142e-06
0.0005058078832758653,0.00035589302313788823,3.653423945273527e-06
0.0005208611337110137,0.00035850916895330693,2.616145815418703e-06
0.0005337612564761266,0.0003600382366108011,1.5290676574941956e-06
0.0005442515269966364,0.00036043658459114204,3.983479803409181e-07
0.000552097393501096,0.0003596672980033952,-7.692865877468257e-07
0.0005571299222247184,0.00035770069530430054,-1.96660269909468e-06
0.0005591721973471474,0.00035451476267670396,-3.185932627596574e-06
0.0005581116277498001,0.0003500955144732156,-4.419248203488388e-06
0.0005538200092219791,0.0003444372661773805,-5.658248295835084e-06
0.0005462532422653467,0.00033754281999216437,-6.894446185216126e-06
0.0005353914428038505,0.0003294235575156196,-8.119262476544793e-06
0.0005212673689335631,0.00032009943907349004,-9.324118442129538e-06
0.0005039636986233463,0.00030959890541125526,-1.0500533662234776e-05
0.00048361882638731785,0.0002979586859326426,-1.1640219478612683e-05
0.0004603197881406385,0.0002852235155523678,-1.2735170380274768e-05
0.0004343230807148553,0.0002714457615869486,-1.3777753965419205e-05
