Country Name,2020,2021,2022
Aruba,106585,106537,106537
Africa Eastern and Southern,685112705,702976832,702976832
Afghanistan,38972230,40099462,40099462
Africa Western and Central,466189102,478185907,478185907
Angola,33428486,34503774,34503774
Albania,2837849,2811666,2811666
Andorra,77700,79034,79034
Arab World,449228296,456520777,456520777
United Arab Emirates,9287289,9365145,9365145
Argentina,45376763,45808747,45808747
Armenia,2805608,2790974,2790974
American Samoa,46189,45035,45035
Antigua and Barbuda,92664,93219,93219
Australia,25655289,25688079,25688079
Austria,8916864,8955797,8955797
Azerbaijan,10093121,10137750,10137750
Burundi,12220227,12551213,12551213
Belgium,11538604,11592952,11592952
Benin,12643123,12996895,12996895
Burkina Faso,21522626,22100683,22100683
Bangladesh,167420951,169356251,169356251
Bulgaria,6934015,6877743,6877743
Bahrain,1477469,1463265,1463265
"Bahamas, The",406471,407906,407906
Bosnia and Herzegovina,3318407,3270943,3270943
Belarus,9379952,9340314,9340314
Belize,394921,400031,400031
Bermuda,63893,63867,63867
Bolivia,11936162,12079472,12079472
Brazil,213196304,214326223,214326223
Barbados,280693,281200,281200
Brunei Darussalam,441725,445373,445373
Bhutan,772506,777486,777486
Botswana,2546402,2588423,2588423
Central African Republic,5343020,5457154,5457154
Canada,38037204,38246108,38246108
Central Europe and the Baltics,102180124,101430997,101430997
Switzerland,8638167,8703405,8703405
Channel Islands,171113,172683,172683
Chile,19300315,19493184,19493184
China,1411100000,1412360000,1412360000
Cote d'Ivoire,26811790,27478249,27478249
Cameroon,26491087,27198628,27198628
"Congo, Dem. Rep.",92853164,95894118,95894118
"Congo, Rep.",5702174,5835806,5835806
Colombia,50930662,51516562,51516562
Comoros,806166,821625,821625
Cabo Verde,582640,587925,587925
Costa Rica,5123105,5153957,5153957
Caribbean small states,7444768,7481877,7481877
Cuba,11300698,11256372,11256372
Curacao,154947,152369,152369
Cayman Islands,67311,68136,68136
Cyprus,1237537,1244188,1244188
Czechia,10697858,10505772,10505772
Germany,83160871,83196078,83196078
Djibouti,1090156,1105557,1105557
Dominica,71995,72412,72412
Denmark,5831404,5856733,5856733
Dominican Republic,10999664,11117873,11117873
Algeria,43451666,44177969,44177969
East Asia & Pacific (excluding high income),2116424876,2123673456,2123673456
Early-demographic dividend,3375134276,3411889059,3411889059
East Asia & Pacific,2363940425,2370204347,2370204347
Europe & Central Asia (excluding high income),400811771,401575218,401575218
Europe & Central Asia,923103879,923777214,923777214
Ecuador,17588595,17797737,17797737
"Egypt, Arab Rep.",107465134,109262178,109262178
Euro area,342913447,343067846,343067846
Eritrea,3555868,3620312,3620312
Spain,47365655,47415750,47415750
Estonia,1329522,1330932,1330932
Ethiopia,117190911,120283026,120283026
European Union,447692315,447199800,447199800
Fragile and conflict affected situations,979418527,1001462452,1001462452
Finland,5529543,5541017,5541017
Fiji,920422,924610,924610
France,67571107,67749632,67749632
Faroe Islands,52415,52889,52889
"Micronesia, Fed. Sts.",112106,113131,113131
Gabon,2292573,2341179,2341179
United Kingdom,67081000,67326569,67326569
Georgia,3722716,3708610,3708610
Ghana,32180401,32833031,32833031
Gibraltar,32709,32669,32669
Guinea,13205153,13531906,13531906
"Gambia, The",2573995,2639916,2639916
Guinea-Bissau,2015828,2060721,2060721
Equatorial Guinea,1596049,1634466,1634466
Greece,10698599,10641221,10641221
Grenada,123663,124610,124610
Greenland,56367,56653,56653
Guatemala,16858333,17109746,17109746
Guam,169231,170534,170534
Guyana,797202,804567,804567
High income,1240900955,1240629858,1240629858
"Hong Kong SAR, China",7481000,7413100,7413100
Honduras,10121763,10278345,10278345
Heavily indebted poor countries (HIPC),838066650,861156745,861156745
Croatia,4047680,3899000,3899000
Haiti,11306801,11447569,11447569
Hungary,9750149,9709891,9709891
IBRD only,4867842166,4895364297,4895364297
IDA & IBRD total,6628067973,6695397735,6695397735
IDA total,1760225807,1800033438,1800033438
IDA blend,582637127,595016031,595016031
Indonesia,271857970,273753191,273753191
IDA only,1177588680,1205017407,1205017407
Isle of Man,84046,84263,84263
India,1396387127,1407563842,1407563842
Not classified,,,
Ireland,4985382,5033165,5033165
"Iran, Islamic Rep.",87290193,87923432,87923432
Iraq,42556984,43533592,43533592
Iceland,366463,372520,372520
Israel,9215100,9364000,9364000
Italy,59438851,59109668,59109668
Jamaica,2820436,2827695,2827695
Jordan,10928721,11148278,11148278
Japan,126261000,125681593,125681593
Kazakhstan,18755666,19000988,19000988
Kenya,51985780,53005614,53005614
Kyrgyz Republic,6579900,6691800,6691800
Cambodia,16396860,16589023,16589023
Kiribati,126463,128874,128874
St. Kitts and Nevis,47642,47606,47606
"Korea, Rep.",51836239,51744876,51744876
Kuwait,4360444,4250114,4250114
Latin America & Caribbean (excluding high income),588808380,593308001,593308001
Lao PDR,7319399,7425057,7425057
Lebanon,5662923,5592631,5592631
Liberia,5087584,5193416,5193416
Libya,6653942,6735277,6735277
St. Lucia,179237,179651,179651
Latin America & Caribbean,650534967,654981699,654981699
Least developed countries: UN classification,1073743450,1099568566,1099568566
Low income,690348650,709088502,709088502
Liechtenstein,38756,39039,39039
Sri Lanka,21919000,22156000,22156000
Lower middle income,3357118135,3398187527,3398187527
Low & middle income,6551590116,6619578961,6619578961
Lesotho,2254100,2281454,2281454
Late-demographic dividend,2317277311,2321862159,2321862159
Lithuania,2794885,2800839,2800839
Luxembourg,630419,640064,640064
