,Date_reported,New_cases
0,2020-01-03,0
1,2020-01-04,0
2,2020-01-05,0
3,2020-01-06,0
4,2020-01-07,0
5,2020-01-08,0
6,2020-01-09,0
7,2020-01-10,0
8,2020-01-11,0
9,2020-01-12,0
10,2020-01-13,0
11,2020-01-14,0
12,2020-01-15,0
13,2020-01-16,0
14,2020-01-17,0
15,2020-01-18,0
16,2020-01-19,0
17,2020-01-20,0
18,2020-01-21,0
19,2020-01-22,0
20,2020-01-23,0
21,2020-01-24,0
22,2020-01-25,0
23,2020-01-26,0
24,2020-01-27,0
25,2020-01-28,0
26,2020-01-29,0
27,2020-01-30,0
28,2020-01-31,0
29,2020-02-01,0
30,2020-02-02,0
31,2020-02-03,0
32,2020-02-04,1
33,2020-02-05,0
34,2020-02-06,0
35,2020-02-07,0
36,2020-02-08,0
37,2020-02-09,0
38,2020-02-10,0
39,2020-02-11,0
40,2020-02-12,0
41,2020-02-13,0
42,2020-02-14,0
43,2020-02-15,0
44,2020-02-16,0
45,2020-02-17,0
46,2020-02-18,0
47,2020-02-19,0
48,2020-02-20,0
49,2020-02-21,0
50,2020-02-22,0
51,2020-02-23,0
52,2020-02-24,0
53,2020-02-25,0
54,2020-02-26,0
55,2020-02-27,0
56,2020-02-28,0
57,2020-02-29,0
58,2020-03-01,0
59,2020-03-02,18
60,2020-03-03,19
61,2020-03-04,34
62,2020-03-05,53
63,2020-03-06,81
64,2020-03-07,110
65,2020-03-08,27
66,2020-03-09,64
67,2020-03-10,94
68,2020-03-11,99
69,2020-03-12,174
70,2020-03-13,250
71,2020-03-14,338
72,2020-03-15,179
73,2020-03-16,214
74,2020-03-17,387
75,2020-03-18,422
76,2020-03-19,534
77,2020-03-20,713
78,2020-03-21,662
79,2020-03-22,469
80,2020-03-23,486
81,2020-03-24,1328
82,2020-03-25,1195
83,2020-03-26,1199
84,2020-03-27,1363
85,2020-03-28,1518
86,2020-03-29,844
87,2020-03-30,683
88,2020-03-31,1738
89,2020-04-01,1681
90,2020-04-02,1516
91,2020-04-03,1478
92,2020-04-04,1694
93,2020-04-05,922
94,2020-04-06,665
95,2020-04-07,1934
96,2020-04-08,1515
97,2020-04-09,1598
98,2020-04-10,2239
99,2020-04-11,2336
100,2020-04-12,1029
101,2020-04-13,524
102,2020-04-14,537
103,2020-04-15,1560
104,2020-04-16,1633
105,2020-04-17,1674
106,2020-04-18,1394
107,2020-04-19,722
108,2020-04-20,443
109,2020-04-21,1276
110,2020-04-22,1270
111,2020-04-23,777
112,2020-04-24,976
113,2020-04-25,811
114,2020-04-26,388
115,2020-04-27,205
116,2020-04-28,755
117,2020-04-29,569
118,2020-04-30,522
119,2020-05-01,586
120,2020-05-02,237
121,2020-05-03,286
122,2020-05-04,140
123,2020-05-05,670
124,2020-05-06,546
125,2020-05-07,552
126,2020-05-08,442
127,2020-05-09,483
128,2020-05-10,240
129,2020-05-11,118
130,2020-05-12,476
131,2020-05-13,395
132,2020-05-14,321
133,2020-05-15,305
134,2020-05-16,346
135,2020-05-17,147
136,2020-05-18,81
137,2020-05-19,317
138,2020-05-20,292
139,2020-05-21,385
140,2020-05-22,70
141,2020-05-23,248
142,2020-05-24,123
143,2020-05-25,75
144,2020-05-26,314
145,2020-05-27,202
146,2020-05-28,182
147,2020-05-29,171
148,2020-05-30,165
149,2020-05-31,61
150,2020-06-01,49
151,2020-06-02,59
152,2020-06-03,181
153,2020-06-04,159
154,2020-06-05,172
155,2020-06-06,154
156,2020-06-07,69
157,2020-06-08,53
158,2020-06-09,152
159,2020-06-10,145
160,2020-06-11,119
161,2020-06-12,95
162,2020-06-13,89
163,2020-06-14,49
164,2020-06-15,22
165,2020-06-16,147
166,2020-06-17,99
167,2020-06-18,123
168,2020-06-19,108
169,2020-06-20,121
170,2020-06-21,50
171,2020-06-22,20
172,2020-06-23,143
173,2020-06-24,110
174,2020-06-25,100
175,2020-06-26,76
176,2020-06-27,113
177,2020-06-28,41
178,2020-06-29,24
179,2020-06-30,127
180,2020-07-01,100
181,2020-07-02,135
182,2020-07-03,93
183,2020-07-04,94
184,2020-07-05,64
185,2020-07-06,24
186,2020-07-07,112
187,2020-07-08,99
188,2020-07-09,137
189,2020-07-10,124
190,2020-07-11,127
191,2020-07-12,62
192,2020-07-13,43
193,2020-07-14,224
194,2020-07-15,207
195,2020-07-16,260
