,Date_reported,New_cases
0,2020-01-03,0
1,2020-01-04,0
2,2020-01-05,0
3,2020-01-06,0
4,2020-01-07,0
5,2020-01-08,0
6,2020-01-09,0
7,2020-01-10,0
8,2020-01-11,0
9,2020-01-12,0
10,2020-01-13,0
11,2020-01-14,0
12,2020-01-15,0
13,2020-01-16,0
14,2020-01-17,0
15,2020-01-18,0
16,2020-01-19,0
17,2020-01-20,0
18,2020-01-21,0
19,2020-01-22,0
20,2020-01-23,0
21,2020-01-24,0
22,2020-01-25,0
23,2020-01-26,0
24,2020-01-27,0
25,2020-01-28,0
26,2020-01-29,2
27,2020-01-30,0
28,2020-01-31,1
29,2020-02-01,0
30,2020-02-02,0
31,2020-02-03,0
32,2020-02-04,0
33,2020-02-05,0
34,2020-02-06,0
35,2020-02-07,0
36,2020-02-08,0
37,2020-02-09,0
38,2020-02-10,0
39,2020-02-11,0
40,2020-02-12,0
41,2020-02-13,0
42,2020-02-14,0
43,2020-02-15,0
44,2020-02-16,0
45,2020-02-17,0
46,2020-02-18,0
47,2020-02-19,0
48,2020-02-20,0
49,2020-02-21,0
50,2020-02-22,14
51,2020-02-23,62
52,2020-02-24,53
53,2020-02-25,97
54,2020-02-26,93
55,2020-02-27,78
56,2020-02-28,250
57,2020-02-29,238
58,2020-03-01,240
59,2020-03-02,566
60,2020-03-03,342
61,2020-03-04,466
62,2020-03-05,587
63,2020-03-06,769
64,2020-03-07,778
65,2020-03-08,1247
66,2020-03-09,1492
67,2020-03-10,1797
68,2020-03-11,977
69,2020-03-12,2313
70,2020-03-13,2651
71,2020-03-14,2547
72,2020-03-15,3497
73,2020-03-16,3590
74,2020-03-17,3233
75,2020-03-18,3526
76,2020-03-19,4207
77,2020-03-20,5322
78,2020-03-21,5986
79,2020-03-22,6557
80,2020-03-23,5560
81,2020-03-24,4789
82,2020-03-25,5249
83,2020-03-26,5210
84,2020-03-27,6153
85,2020-03-28,5959
86,2020-03-29,5974
87,2020-03-30,5217
88,2020-03-31,4050
89,2020-04-01,4053
90,2020-04-02,4782
91,2020-04-03,4668
92,2020-04-04,4585
93,2020-04-05,4805
94,2020-04-06,4316
95,2020-04-07,3599
96,2020-04-08,3039
97,2020-04-09,3836
98,2020-04-10,4204
99,2020-04-11,3951
100,2020-04-12,4694
101,2020-04-13,4092
102,2020-04-14,3153
103,2020-04-15,2972
104,2020-04-16,2667
105,2020-04-17,3786
106,2020-04-18,3493
107,2020-04-19,3491
108,2020-04-20,3047
109,2020-04-21,2256
110,2020-04-22,2729
111,2020-04-23,3370
112,2020-04-24,2646
113,2020-04-25,3021
114,2020-04-26,2357
115,2020-04-27,2324
116,2020-04-28,1739
117,2020-04-29,2091
118,2020-04-30,2086
119,2020-05-01,1872
120,2020-05-02,1965
121,2020-05-03,1900
122,2020-05-04,1389
123,2020-05-05,1221
124,2020-05-06,1075
125,2020-05-07,1444
126,2020-05-08,1401
127,2020-05-09,1327
128,2020-05-10,1083
129,2020-05-11,802
130,2020-05-12,744
131,2020-05-13,1402
132,2020-05-14,888
133,2020-05-15,992
134,2020-05-16,789
135,2020-05-17,875
136,2020-05-18,675
137,2020-05-19,451
138,2020-05-20,813
139,2020-05-21,665
140,2020-05-22,642
141,2020-05-23,652
142,2020-05-24,669
143,2020-05-25,531
144,2020-05-26,300
145,2020-05-27,397
146,2020-05-28,584
147,2020-05-29,593
148,2020-05-30,516
149,2020-05-31,416
150,2020-06-01,355
151,2020-06-02,178
152,2020-06-03,318
153,2020-06-04,321
154,2020-06-05,177
155,2020-06-06,518
156,2020-06-07,270
157,2020-06-08,197
158,2020-06-09,280
159,2020-06-10,283
160,2020-06-11,202
161,2020-06-12,379
162,2020-06-13,163
163,2020-06-14,346
164,2020-06-15,338
165,2020-06-16,301
166,2020-06-17,210
167,2020-06-18,328
168,2020-06-19,331
169,2020-06-20,-148
170,2020-06-21,264
171,2020-06-22,224
172,2020-06-23,221
173,2020-06-24,113
174,2020-06-25,577
175,2020-06-26,296
176,2020-06-27,255
177,2020-06-28,175
178,2020-06-29,174
179,2020-06-30,126
180,2020-07-01,142
181,2020-07-02,182
182,2020-07-03,201
183,2020-07-04,223
184,2020-07-05,235
185,2020-07-06,192
186,2020-07-07,208
187,2020-07-08,137
188,2020-07-09,193
189,2020-07-10,214
190,2020-07-11,276
191,2020-07-12,188
