"Date_reported","Country_code","Country","WHO_region","New_cases","Cumulative_cases","New_deaths","Cumulative_deaths"
2020-01-03,"BE","Belgium","EURO",0,0,0,0
2020-01-04,"BE","Belgium","EURO",0,0,0,0
2020-01-05,"BE","Belgium","EURO",0,0,0,0
2020-01-06,"BE","Belgium","EURO",0,0,0,0
2020-01-07,"BE","Belgium","EURO",0,0,0,0
2020-01-08,"BE","Belgium","EURO",0,0,0,0
2020-01-09,"BE","Belgium","EURO",0,0,0,0
2020-01-10,"BE","Belgium","EURO",0,0,0,0
2020-01-11,"BE","Belgium","EURO",0,0,0,0
2020-01-12,"BE","Belgium","EURO",0,0,0,0
2020-01-13,"BE","Belgium","EURO",0,0,0,0
2020-01-14,"BE","Belgium","EURO",0,0,0,0
2020-01-15,"BE","Belgium","EURO",0,0,0,0
2020-01-16,"BE","Belgium","EURO",0,0,0,0
2020-01-17,"BE","Belgium","EURO",0,0,0,0
2020-01-18,"BE","Belgium","EURO",0,0,0,0
2020-01-19,"BE","Belgium","EURO",0,0,0,0
2020-01-20,"BE","Belgium","EURO",0,0,0,0
2020-01-21,"BE","Belgium","EURO",0,0,0,0
2020-01-22,"BE","Belgium","EURO",0,0,0,0
2020-01-23,"BE","Belgium","EURO",0,0,0,0
2020-01-24,"BE","Belgium","EURO",0,0,0,0
2020-01-25,"BE","Belgium","EURO",0,0,0,0
2020-01-26,"BE","Belgium","EURO",0,0,0,0
2020-01-27,"BE","Belgium","EURO",0,0,0,0
2020-01-28,"BE","Belgium","EURO",0,0,0,0
2020-01-29,"BE","Belgium","EURO",0,0,0,0
2020-01-30,"BE","Belgium","EURO",0,0,0,0
2020-01-31,"BE","Belgium","EURO",0,0,0,0
2020-02-01,"BE","Belgium","EURO",0,0,0,0
2020-02-02,"BE","Belgium","EURO",0,0,0,0
2020-02-03,"BE","Belgium","EURO",0,0,0,0
2020-02-04,"BE","Belgium","EURO",1,1,0,0
2020-02-05,"BE","Belgium","EURO",0,1,0,0
2020-02-06,"BE","Belgium","EURO",0,1,0,0
2020-02-07,"BE","Belgium","EURO",0,1,0,0
2020-02-08,"BE","Belgium","EURO",0,1,0,0
2020-02-09,"BE","Belgium","EURO",0,1,0,0
2020-02-10,"BE","Belgium","EURO",0,1,0,0
2020-02-11,"BE","Belgium","EURO",0,1,0,0
2020-02-12,"BE","Belgium","EURO",0,1,0,0
2020-02-13,"BE","Belgium","EURO",0,1,0,0
2020-02-14,"BE","Belgium","EURO",0,1,0,0
2020-02-15,"BE","Belgium","EURO",0,1,0,0
2020-02-16,"BE","Belgium","EURO",0,1,0,0
2020-02-17,"BE","Belgium","EURO",0,1,0,0
2020-02-18,"BE","Belgium","EURO",0,1,0,0
2020-02-19,"BE","Belgium","EURO",0,1,0,0
2020-02-20,"BE","Belgium","EURO",0,1,0,0
2020-02-21,"BE","Belgium","EURO",0,1,0,0
2020-02-22,"BE","Belgium","EURO",0,1,0,0
2020-02-23,"BE","Belgium","EURO",0,1,0,0
2020-02-24,"BE","Belgium","EURO",0,1,0,0
2020-02-25,"BE","Belgium","EURO",0,1,0,0
2020-02-26,"BE","Belgium","EURO",0,1,0,0
2020-02-27,"BE","Belgium","EURO",0,1,0,0
2020-02-28,"BE","Belgium","EURO",0,1,0,0
2020-02-29,"BE","Belgium","EURO",0,1,0,0
2020-03-01,"BE","Belgium","EURO",0,1,0,0
2020-03-02,"BE","Belgium","EURO",18,19,0,0
2020-03-03,"BE","Belgium","EURO",19,38,0,0
2020-03-04,"BE","Belgium","EURO",34,72,0,0
2020-03-05,"BE","Belgium","EURO",53,125,0,0
2020-03-06,"BE","Belgium","EURO",81,206,0,0
2020-03-07,"BE","Belgium","EURO",110,316,0,0
2020-03-08,"BE","Belgium","EURO",27,343,0,0
2020-03-09,"BE","Belgium","EURO",64,407,0,0
2020-03-10,"BE","Belgium","EURO",94,501,1,1
2020-03-11,"BE","Belgium","EURO",99,600,1,2
2020-03-12,"BE","Belgium","EURO",174,774,3,5
2020-03-13,"BE","Belgium","EURO",250,1024,0,5
2020-03-14,"BE","Belgium","EURO",338,1362,3,8
2020-03-15,"BE","Belgium","EURO",179,1541,7,15
2020-03-16,"BE","Belgium","EURO",214,1755,7,22
2020-03-17,"BE","Belgium","EURO",387,2142,11,33
2020-03-18,"BE","Belgium","EURO",422,2564,15,48
2020-03-19,"BE","Belgium","EURO",534,3098,25,73
2020-03-20,"BE","Belgium","EURO",713,3811,35,108
2020-03-21,"BE","Belgium","EURO",662,4473,40,148
2020-03-22,"BE","Belgium","EURO",469,4942,41,189
2020-03-23,"BE","Belgium","EURO",486,5428,55,244
2020-03-24,"BE","Belgium","EURO",1328,6756,82,326
