,Date_reported,New_cases,SmoothedCases,cutDates
5994,2020-01-03,0,0.050924448356752604,0
5995,2020-01-04,0,0.0608430085093687,0
5996,2020-01-05,0,0.07309056807933971,0
5997,2020-01-06,0,0.08826926013299052,0
5998,2020-01-07,0,0.107138493998128,0
5999,2020-01-08,0,0.13065423071770527,0
6000,2020-01-09,0,0.1600172467727146,0
6001,2020-01-10,0,0.1967321678346625,0
6002,2020-01-11,0,0.24267932377911472,0
6003,2020-01-12,0,0.3002017621351043,0
6004,2020-01-13,0,0.37221005314647176,0
6005,2020-01-14,0,0.4623078167703019,0
6006,2020-01-15,0,0.5749411885688858,0
6007,2020-01-16,0,0.7155757029874206,0
6008,2020-01-17,0,0.8909042914443713,0
6009,2020-01-18,0,1.1090902487180676,0
6010,2020-01-19,0,1.3800490915930137,0
6011,2020-01-20,0,1.7157731940593126,0
6012,2020-01-21,0,2.1307029078185122,0
6013,2020-01-22,0,2.6421475394428064,0
6014,2020-01-23,0,3.270759030945513,0
6015,2020-01-24,0,4.041060455087152,0
6016,2020-01-25,0,4.982030469381504,0
6017,2020-01-26,0,6.127743655805649,0
6018,2020-01-27,0,7.518065193099421,0
6019,2020-01-28,0,9.19939655643569,0
6020,2020-01-29,2,11.225466911643077,0
6021,2020-01-30,0,13.658162570544107,0
6022,2020-01-31,1,16.568384309681488,0
6023,2020-02-01,0,20.03691954418587,0
6024,2020-02-02,0,24.155313318986302,0
6025,2020-02-03,0,29.02671887004206,0
6026,2020-02-04,0,34.76670517220678,0
6027,2020-02-05,0,41.503995498216725,0
6028,2020-02-06,0,49.38110765531364,0
6029,2020-02-07,0,58.5548633542446,0
6030,2020-02-08,0,69.19673123512462,0
6031,2020-02-09,0,81.49296558446956,0
6032,2020-02-10,0,95.64450090783008,0
6033,2020-02-11,0,111.866561471142,0
6034,2020-02-12,0,130.38794490166305,0
6035,2020-02-13,0,151.44994016087537,0
6036,2020-02-14,0,175.3048428756426,0
6037,2020-02-15,0,202.21403533066353,0
6038,2020-02-16,0,232.44560454343392,0
6039,2020-02-17,0,266.2714798746054,0
6040,2020-02-18,0,303.9640816225287,0
6041,2020-02-19,0,345.79248398596485,0
6042,2020-02-20,0,392.01810954006265,0
6043,2020-02-21,0,442.8899877456344,0
6044,2020-02-22,14,498.63962668287775,0
6045,2020-02-23,62,559.4755647425391,0
6046,2020-02-24,53,625.5776868897982,0
6047,2020-02-25,97,697.0914077128235,0
6048,2020-02-26,93,774.1218400727355,0
6049,2020-02-27,78,856.7280830201929,0
6050,2020-02-28,250,944.9177749419575,0
6051,2020-02-29,238,1038.6420668589562,0
6052,2020-03-01,240,1137.7911756689425,0
6053,2020-03-02,566,1242.1906772497505,0
6054,2020-03-03,342,1351.5986941779965,0
6055,2020-03-04,466,1465.7041220052527,0
6056,2020-03-05,587,1584.1260214061097,0
6057,2020-03-06,769,1706.4142811415597,0
6058,2020-03-07,778,1832.0516289940879,0
6059,2020-03-08,1247,1960.457035219975,0
