,Date_reported,New_cases,SmoothedCases,cutDates
7992,2020-01-03,0,0.0020385942204955484,0
7993,2020-01-04,0,0.002601220345903493,0
7994,2020-01-05,0,0.003316734905502647,0
7995,2020-01-06,0,0.004225626328934974,0
7996,2020-01-07,0,0.005378690655382072,0
7997,2020-01-08,0,0.006839505357924134,0
7998,2020-01-09,0,0.00868744568971132,0
7999,2020-01-10,0,0.011021346035154556,0
8000,2020-01-11,0,0.013963923049488678,0
8001,2020-01-12,0,0.01766709214761595,0
8002,2020-01-13,0,0.02231832366024655,0
8003,2020-01-14,0,0.028148199041813232,0
8004,2020-01-15,0,0.035439340028754096,0
8005,2020-01-16,0,0.044536893543024036,0
8006,2020-01-17,0,0.0558607611426514,0
8007,2020-01-18,0,0.06991976247287439,0
8008,2020-01-19,0,0.08732791583591541,0
8009,2020-01-20,0,0.1088230039248745,0
8010,2020-01-21,0,0.13528756715907075,0
8011,2020-01-22,0,0.1677724291581947,0
8012,2020-01-23,0,0.2075228070972976,0
8013,2020-01-24,0,0.25600699266924776,0
8014,2020-01-25,0,0.31494750623590967,0
8015,2020-01-26,0,0.3863545271165119,0
8016,2020-01-27,0,0.4725612871670185,0
8017,2020-01-28,0,0.5762609839698447,0
8018,2020-01-29,0,0.7005446260851314,0
8019,2020-01-30,0,0.8489390688569807,0
8020,2020-01-31,0,1.0254443391166388,0
8021,2020-02-01,0,1.2345691855991086,0
8022,2020-02-02,0,1.4813636346611112,0
8023,2020-02-03,0,1.7714471843643766,0
8024,2020-02-04,0,2.1110311411594034,0
8025,2020-02-05,0,2.506933499652971,0
8026,2020-02-06,0,2.966584694817177,0
8027,2020-02-07,0,3.498022524959965,0
8028,2020-02-08,0,4.109874559917426,0
8029,2020-02-09,0,4.811326418657836,0
8030,2020-02-10,0,5.612074429209738,0
8031,2020-02-11,0,6.522261375595372,0
8032,2020-02-12,0,7.552394293627075,0
8033,2020-02-13,0,8.71324360034495,0
8034,2020-02-14,0,10.015723228555126,0
8035,2020-02-15,0,11.470751883821718,0
8036,2020-02-16,0,13.089096039100538,0
8037,2020-02-17,0,14.881195821924724,0
8038,2020-02-18,0,16.856975517894394,0
8039,2020-02-19,0,19.025640996911307,0
8040,2020-02-20,1,21.395466947712432,0
8041,2020-02-21,0,23.973577362721823,0
8042,2020-02-22,0,26.765723228966365,0
8043,2020-02-23,0,29.776061831420197,0
8044,2020-02-24,0,33.006942442816666,0
8045,2020-02-25,0,36.45870344024481,0
8046,2020-02-26,0,40.1294860374957,0
8047,2020-02-27,0,44.01506983991513,0
8048,2020-02-28,3,48.10873530591482,0
8049,2020-02-29,2,52.40115793099291,0
8050,2020-03-01,9,56.88033855543554,0
8051,2020-03-02,6,61.53157363994932,0
8052,2020-03-03,10,66.33746866325971,0
8053,2020-03-04,12,71.27799698577688,0
8054,2020-03-05,31,76.33060561160461,1
8055,2020-03-06,33,81.47036828899373,0
8056,2020-03-07,33,86.67018534142765,0
8057,2020-03-08,24,91.90102854478585,0
8058,2020-03-09,19,97.13222828885887,0
8059,2020-03-10,65,102.33179921292785,0
8060,2020-03-11,247,107.46679951400736,0
8061,2020-03-12,241,112.50371822050043,0
8062,2020-03-13,175,117.40888392945706,0
8063,2020-03-14,206,122.14888784589554,0
8064,2020-03-15,147,126.69101345814202,0
8065,2020-03-16,100,131.00366485058177,0
8066,2020-03-17,99,135.05678550714265,0
8067,2020-03-18,180,138.8222595032265,0
8068,2020-03-19,176,142.27428722378485,0
8069,2020-03-20,213,145.38972817881333,0
8070,2020-03-21,239,148.14840410754047,0
8071,2020-03-22,308,150.53335635661566,0
8072,2020-03-23,174,152.5310524681973,0
8073,2020-03-24,148,154.13153799871998,0
8074,2020-03-25,296,155.32853078163092,0
8075,2020-03-26,313,156.11945611706247,0
8076,2020-03-27,292,156.50542268476266,0
8077,2020-03-28,298,156.49114029802485,0
8078,2020-03-29,262,156.0847819091592,0
8079,2020-03-30,166,155.29779350467936,0
8080,2020-03-31,106,154.1446566556303,0
8081,2020-04-01,264,152.6426094827986,0
8082,2020-04-02,208,150.81133262923782,0
8083,2020-04-03,198,148.67260747992793,0
8084,2020-04-04,198,146.24995431280223,0
8085,2020-04-05,164,143.56825829590514,0
8086,2020-04-06,88,140.65339125843474,0
8087,2020-04-07,72,137.53183696269355,0
8088,2020-04-08,159,134.2303272006319,0
8089,2020-04-09,140,130.77549545072634,0
8090,2020-04-10,106,127.19355408247199,0
8091,2020-04-11,103,123.51000021591916,0
8092,2020-04-12,68,119.74935436538115,0
8093,2020-04-13,110,115.93493495495845,0
8094,2020-04-14,77,112.0886707250194,0
8095,2020-04-15,77,108.23095198874488,0
8096,2020-04-16,122,104.38052067971965,0
8097,2020-04-17,103,100.5543981854167,0
8098,2020-04-18,80,96.76784911294114,0
8099,2020-04-19,108,93.03437840302553,0
8100,2020-04-20,49,89.36575861069994,0
