,Date_reported,New_cases,SmoothedCases,cutDates
12987,2020-01-03,0,6.997474844291127e-06,0
12988,2020-01-04,0,1.013621147639511e-05,0
12989,2020-01-05,0,1.46603890521601e-05,0
12990,2020-01-06,0,2.1169605212434703e-05,0
12991,2020-01-07,0,3.0516732086594306e-05,0
12992,2020-01-08,0,4.3911731732727796e-05,0
12993,2020-01-09,0,6.30664530939016e-05,0
12994,2020-01-10,0,9.039583315598785e-05,0
12995,2020-01-11,0,0.00012929637998759745,0
12996,2020-01-12,0,0.00018453004554266184,0
12997,2020-01-13,0,0.0002627511146687392,0
12998,2020-01-14,0,0.0003732261798214499,0
12999,2020-01-15,0,0.0005288134177828964,0
13000,2020-01-16,0,0.0007472881777028011,0
13001,2020-01-17,0,0.0010531284534699564,0
13002,2020-01-18,0,0.0014799074696499788,0
13003,2020-01-19,0,0.0020734828881378018,0
13004,2020-01-20,0,0.0028962247800284327,0
13005,2020-01-21,0,0.004032589439817226,0
13006,2020-01-22,0,0.005596425454423893,0
13007,2020-01-23,0,0.007740494410536572,0
13008,2020-01-24,0,0.010668803517542257,0
13009,2020-01-25,0,0.014652483480935301,0
13010,2020-01-26,0,0.02005010424321424,0
13011,2020-01-27,0,0.027333505423319495,0
13012,2020-01-28,0,0.037120428571082074,0
13013,2020-01-29,0,0.05021547502221282,0
13014,2020-01-30,0,0.06766117537296007,0
13015,2020-01-31,0,0.09080124209427606,0
13016,2020-02-01,0,0.12135838141360783,0
13017,2020-02-02,0,0.1615293578767017,0
13018,2020-02-03,0,0.21410032583915184,0
13019,2020-02-04,0,0.28258575430820815,0
13020,2020-02-05,0,0.37139455938281657,0
13021,2020-02-06,0,0.4860273026127429,0
13022,2020-02-07,0,0.6333084906211541,0
13023,2020-02-08,0,0.8216580941602971,0
13024,2020-02-09,0,1.0614063626549768,0
13025,2020-02-10,0,1.3651558094433798,0
13026,2020-02-11,0,1.7481938473877576,0
13027,2020-02-12,0,2.228958927410262,0
13028,2020-02-13,0,2.829562137632448,0
13029,2020-02-14,0,3.576365024716401,0
13030,2020-02-15,0,4.500612873403802,0
13031,2020-02-16,0,5.639120804634867,0
13032,2020-02-17,0,7.03500781725306,0
13033,2020-02-18,0,8.73847130716239,0
13034,2020-02-19,0,10.807591671585461,0
13035,2020-02-20,0,13.309153384811525,0
13036,2020-02-21,0,16.319465477118804,0
13037,2020-02-22,0,19.92516074504298,0
13038,2020-02-23,0,24.223949377090506,0
13039,2020-02-24,0,29.32529912563076,0
13040,2020-02-25,0,35.35101084543681,0
13041,2020-02-26,0,42.435655322345994,0
13042,2020-02-27,0,50.72683501486609,0
13043,2020-02-28,0,60.38523281694934,0
13044,2020-02-29,0,71.58440941021273,0
13045,2020-03-01,0,84.51031138735318,0
13046,2020-03-02,0,99.36045425470337,0
13047,2020-03-03,0,116.34274779070711,0
13048,2020-03-04,0,135.6739361392459,0
13049,2020-03-05,0,157.57763149452566,0
13050,2020-03-06,0,182.2819282736401,0
13051,2020-03-07,0,210.01659419757658,0
13052,2020-03-08,0,241.00984556869827,0
13053,2020-03-09,0,275.48472603268345,0
13054,2020-03-10,0,313.65512097011344,0
13055,2020-03-11,1,355.7214530415411,0
13056,2020-03-12,0,401.86611792172675,0
13057,2020-03-13,0,452.2487324742318,0
13058,2020-03-14,4,507.0012800792734,0
13059,2020-03-15,1,566.2232490658374,0
13060,2020-03-16,12,629.9768697482052,0
13061,2020-03-17,29,698.282562983977,0
13062,2020-03-18,51,771.1147180515206,0
13063,2020-03-19,93,848.3979196419155,0
13064,2020-03-20,168,930.0037425974682,0
13065,2020-03-21,311,1015.7482285139691,0
13066,2020-03-22,277,1105.39015036009,0
13067,2020-03-23,289,1198.6301598608304,0
13068,2020-03-24,293,1295.1108976559585,0
13069,2020-03-25,343,1394.4181284013146,0
13070,2020-03-26,561,1496.0829423598118,0
13071,2020-03-27,1196,1599.585042061159,1
13072,2020-03-28,2069,1704.357107819841,0
13073,2020-03-29,1704,1809.7902098974891,0
13074,2020-03-30,1815,1915.2402085552478,0
13075,2020-03-31,1610,2020.035056893236,0
13076,2020-04-01,2704,2123.4828959803654,0
13077,2020-04-02,2148,2224.8808081135503,0
13078,2020-04-03,2456,2323.5240728751082,0
13079,2020-04-04,2786,2418.715752710088,0
13080,2020-04-05,3013,2509.7764206903394,0
13081,2020-04-06,3135,2596.0538335523675,0
13082,2020-04-07,3148,2676.9323484640418,0
13083,2020-04-08,3892,2751.841882630018,0
13084,2020-04-09,4117,2820.266220972929,0
13085,2020-04-10,4056,2881.750488742714,0
13086,2020-04-11,4747,2935.9076228453982,0
13087,2020-04-12,5138,2982.4236975956546,0
13088,2020-04-13,4789,3021.0619869525835,0
13089,2020-04-14,4093,3051.665675391633,0
13090,2020-04-15,4062,3074.1591625396245,0
13091,2020-04-16,4281,3088.547941569539,0
13092,2020-04-17,4801,3094.9170670369786,0
13093,2020-04-18,4353,3093.428263205873,0
13094,2020-04-19,3783,3084.315757809214,0
13095,2020-04-20,3977,3067.8809575071623,0
13096,2020-04-21,4674,3044.486109004742,0
13097,2020-04-22,4611,3014.547112962571,0
13098,2020-04-23,3083,2978.525675727117,0
13099,2020-04-24,3116,2936.9209959675227,0
13100,2020-04-25,3122,2890.26118919905,0
13101,2020-04-26,2861,2839.094652797816,0
13102,2020-04-27,2357,2783.981567604369,0
13103,2020-04-28,2131,2725.4857199418093,0
13104,2020-04-29,2392,2664.1668104170303,0
13105,2020-04-30,2936,2600.573393995218,0
13106,2020-05-01,2615,2535.2365704506255,0
13107,2020-05-02,2188,2468.6645164195907,0
13108,2020-05-03,1983,2401.3379209936816,0
13109,2020-05-04,1670,2333.7063571824738,0
13110,2020-05-05,1614,2266.185592702844,0
13111,2020-05-06,1832,2199.1558163924065,0
13112,2020-05-07,2253,2132.9607319601,0
13113,2020-05-08,1977,2067.9074494911465,0
13114,2020-05-09,1848,2004.267087661332,0
13115,2020-05-10,1546,1942.275986349206,1
13116,2020-05-11,1542,1882.1374204407623,0
13117,2020-05-12,1114,1824.023701094968,0
13118,2020-05-13,1704,1768.078550408854,0
13119,2020-05-14,1639,1714.4196389691901,0
13120,2020-05-15,1635,1663.1411827642996,0
13121,2020-05-16,1708,1614.3165058220668,0
13122,2020-05-17,1610,1568.0004871441668,0
13123,2020-05-18,1368,1524.2318243960838,0
13124,2020-05-19,1158,1483.035061758236,0
13125,2020-05-20,1022,1444.4223447384923,0
13126,2020-05-21,972,1408.3948800271025,0
13127,2020-05-22,961,1374.9440931385966,0
13128,2020-05-23,952,1344.0524902007028,0
13129,2020-05-24,1186,1315.6942424663398,0
13130,2020-05-25,1141,1289.8355226721167,0
13131,2020-05-26,987,1266.4346310573774,0
13132,2020-05-27,948,1245.4419555812713,0
13133,2020-05-28,1035,1226.799815592475,0
13134,2020-05-29,1182,1210.4422409420956,0
13135,2020-05-30,1141,1196.2947393663355,0
13136,2020-05-31,983,1184.2741040305991,0
13137,2020-06-01,839,1174.2883105900503,0
13138,2020-06-02,827,1166.236549183781,0
13139,2020-06-03,786,1160.0094316659818,0
13140,2020-06-04,867,1155.4894083293366,0
13141,2020-06-05,988,1152.5514216440667,0
13142,2020-06-06,930,1151.0638173720083,0
13143,2020-06-07,878,1150.889526062763,0
13144,2020-06-08,914,1151.8875206258904,0
13145,2020-06-09,989,1153.9145486012014,0
13146,2020-06-10,993,1156.8271310862208,0
13147,2020-06-11,922,1160.483814150745,0
13148,2020-06-12,987,1164.7476530488832,0
13149,2020-06-13,1195,1169.4889046505064,0
13150,2020-06-14,1459,1174.587899222643,0
13151,2020-06-15,1562,1179.9380589088507,0
13152,2020-06-16,1592,1185.4490268453485,0
13153,2020-06-17,1467,1191.0498676435673,0
13154,2020-06-18,1429,1196.6922967644534,0
13155,2020-06-19,1304,1202.3538929115384,0
13156,2020-06-20,1214,1208.0412437973253,0
13157,2020-06-21,1248,1213.7929713533456,0
13158,2020-06-22,1192,1219.682577587914,0
13159,2020-06-23,1212,1225.8210468664497,0
