,Date_reported,New_cases,SmoothedCases,cutDates
5994,2020-01-03,0,0.11436087061947589,0
5995,2020-01-04,0,0.13794749347997246,0
5996,2020-01-05,0,0.1669038595464,0
5997,2020-01-06,0,0.20248147961922158,0
5998,2020-01-07,0,0.24621607989907057,0
5999,2020-01-08,0,0.2999882955047,0
6000,2020-01-09,0,0.36609606835663455,0
6001,2020-01-10,0,0.4473406424942722,0
6002,2020-01-11,0,0.5471282562736123,0
6003,2020-01-12,0,0.6695898326094069,0
6004,2020-01-13,0,0.8197211564218693,0
6005,2020-01-14,0,1.0035461915465933,0
6006,2020-01-15,0,1.22830631421978,0
6007,2020-01-16,0,1.5026783114077464,0
6008,2020-01-17,0,1.8370239923619145,0
6009,2020-01-18,0,2.243674171972824,0
6010,2020-01-19,0,2.73724958491027,0
6011,2020-01-20,0,3.335020960043467,0
6012,2020-01-21,0,4.057310005707389,0
6013,2020-01-22,0,4.92793241008114,0
6014,2020-01-23,0,5.974683131983847,0
6015,2020-01-24,0,7.229863234208782,0
6016,2020-01-25,0,8.730846287284777,0
6017,2020-01-26,0,10.520680945101523,0
6018,2020-01-27,0,12.648724670384093,0
6019,2020-01-28,0,15.171301779732834,0
6020,2020-01-29,2,18.152377004384483,0
6021,2020-01-30,0,21.6642336511052,0
6022,2020-01-31,1,25.788143232525698,0
6023,2020-02-01,0,30.615011160431205,0
6024,2020-02-02,0,36.24598080964774,0
6025,2020-02-03,0,42.79297602299064,0
6026,2020-02-04,0,50.37916000641406,0
6027,2020-02-05,0,59.13928663375432,0
6028,2020-02-06,0,69.21991852667765,0
6029,2020-02-07,0,80.77948499038013,0
6030,2020-02-08,0,93.9881520695874,0
6031,2020-02-09,0,109.02747674884137,0
6032,2020-02-10,0,126.08981776586424,0
6033,2020-02-11,0,145.37747674685468,0
6034,2020-02-12,0,167.10154551305166,0
6035,2020-02-13,0,191.4804385434015,0
6036,2020-02-14,0,218.7380937859988,0
6037,2020-02-15,0,249.10183034374904,0
6038,2020-02-16,0,282.79985803767016,0
6039,2020-02-17,0,320.0584414547685,0
6040,2020-02-18,0,361.0987297502021,0
6041,2020-02-19,0,406.1332730769763,0
6042,2020-02-20,0,455.3622568862626,0
6043,2020-02-21,0,508.96949624575757,0
